@relation T1datamerged

@attribute SG_D0 numeric
@attribute SG_D1 numeric
@attribute SG_D2 numeric
@attribute SG_D3 numeric
@attribute SG_D4 numeric
@attribute SG_D5 numeric
@attribute SG_D6 numeric
@attribute SG_D7 numeric
@attribute SG_D8 numeric
@attribute ID {p15_r-15,p15_r0,p15_r15,p15_r45,p25_r0,p45_r-15,p45_r0,p45_r15,p45_r45,p65_r0}

@data
-62,-199,-92,-193,-93,-179,7,-52,-109,p15_r-15
-61,-199,-90,-193,-90,-179,7,-51,-107,p15_r-15
-61,-199,-90,-193,-90,-179,15,-50,-106,p15_r-15
-60,-199,-90,-193,-88,-179,15,-50,-106,p15_r-15
-61,-200,-91,-196,-90,-179,14,-50,-106,p15_r-15
-61,-203,-94,-197,-92,-180,14,-52,-109,p15_r-15
-62,-204,-95,-200,-94,-181,10,-52,-109,p15_r-15
-63,-206,-95,-203,-94,-181,8,-53,-109,p15_r-15
-63,-207,-95,-203,-94,-181,7,-53,-109,p15_r-15
-63,-206,-95,-202,-93,-181,8,-53,-109,p15_r-15
-62,-206,-94,-200,-93,-181,8,-53,-109,p15_r-15
-62,-206,-94,-200,-93,-180,8,-53,-109,p15_r-15
-62,-206,-91,-199,-92,-180,8,-53,-108,p15_r-15
-63,-208,-94,-199,-90,-180,7,-53,-109,p15_r-15
-65,-208,-94,-200,-93,-180,6,-55,-109,p15_r-15
-69,-208,-94,-200,-94,-180,6,-55,-109,p15_r-15
-69,-209,-94,-200,-94,-181,5,-55,-109,p15_r-15
-69,-209,-94,-202,-94,-181,4,-55,-109,p15_r-15
-69,-209,-94,-202,-94,-181,5,-55,-109,p15_r-15
-69,-209,-93,-202,-94,-181,5,-55,-109,p15_r-15
-69,-209,-93,-202,-94,-181,5,-55,-109,p15_r-15
-69,-209,-93,-202,-94,-181,5,-55,-109,p15_r-15
-73,-215,-94,-209,-96,-184,4,-55,-109,p15_r-15
-75,-215,-94,-211,-96,-186,3,-58,-109,p15_r-15
-75,-215,-94,-211,-99,-186,2,-59,-109,p15_r-15
-75,-217,-94,-211,-99,-187,2,-60,-109,p15_r-15
-77,-217,-95,-213,-99,-188,2,-60,-110,p15_r-15
-77,-217,-95,-212,-99,-187,2,-59,-109,p15_r-15
-77,-217,-95,-211,-99,-187,3,-59,-109,p15_r-15
-77,-217,-95,-211,-98,-187,3,-59,-108,p15_r-15
-77,-217,-95,-211,-96,-186,3,-59,-108,p15_r-15
-79,-217,-96,-209,-95,-187,4,-58,-108,p15_r-15
-79,-220,-96,-209,-95,-187,3,-58,-108,p15_r-15
-80,-221,-98,-209,-95,-187,3,-60,-108,p15_r-15
-80,-221,-98,-211,-98,-188,3,-62,-108,p15_r-15
-80,-221,-99,-211,-100,-188,3,-62,-109,p15_r-15
-80,-221,-98,-209,-98,-188,3,-62,-108,p15_r-15
-80,-221,-96,-209,-93,-188,2,-64,-110,p15_r-15
-79,-220,-95,-207,-90,-188,2,-63,-110,p15_r-15
-78,-217,-94,-207,-90,-188,3,-62,-110,p15_r-15
-76,-217,-94,-206,-84,-185,3,-61,-110,p15_r-15
-73,-213,-94,-205,-77,-184,2,-60,-109,p15_r-15
-73,-213,-94,-205,-82,-184,2,-60,-111,p15_r-15
-73,-213,-94,-205,-82,-184,-1,-60,-112,p15_r-15
-73,-213,-94,-205,-82,-184,-1,-60,-112,p15_r-15
-73,-213,-94,-205,-82,-184,-1,-62,-112,p15_r-15
-65,-204,-80,-199,-71,-178,2,-60,-111,p15_r-15
-65,-204,-80,-199,-72,-178,2,-62,-111,p15_r-15
-67,-206,-80,-200,-74,-181,2,-64,-111,p15_r-15
-71,-211,-84,-200,-76,-184,2,-64,-111,p15_r-15
-99,-244,-198,-158,-149,-283,-13,-80,-147,p15_r0
-99,-244,-198,-159,-149,-284,-13,-80,-147,p15_r0
-102,-244,-198,-161,-149,-284,-13,-80,-147,p15_r0
-102,-246,-198,-161,-149,-284,-14,-81,-147,p15_r0
-102,-246,-198,-161,-149,-284,-14,-81,-147,p15_r0
-101,-246,-198,-161,-147,-284,-13,-80,-147,p15_r0
-100,-246,-198,-161,-147,-284,-12,-80,-147,p15_r0
-100,-246,-194,-161,-146,-284,-11,-80,-146,p15_r0
-99,-246,-193,-161,-143,-283,-11,-79,-145,p15_r0
-100,-246,-193,-164,-146,-284,-12,-80,-145,p15_r0
-100,-247,-194,-164,-146,-284,-12,-80,-145,p15_r0
-100,-248,-194,-170,-146,-287,-12,-81,-145,p15_r0
-100,-248,-194,-170,-146,-287,-12,-82,-145,p15_r0
