@relation T2datamerged

@attribute SG_E0 numeric
@attribute SG_D0 numeric
@attribute SG_E1 numeric
@attribute SG_D1 numeric
@attribute SG_E2 numeric
@attribute SG_D2 numeric
@attribute SG_E3 numeric
@attribute SG_D3 numeric
@attribute SG_E4 numeric
@attribute SG_D4 numeric
@attribute SG_E5 numeric
@attribute SG_D5 numeric
@attribute SG_E6 numeric
@attribute SG_D6 numeric
@attribute SG_E7 numeric
@attribute SG_D7 numeric
@attribute SG_E8 numeric
@attribute SG_D8 numeric
@attribute ID {p15_r-15,p15_r0,p15_r15,p15_r45,p25_r0,p45_r-15,p45_r0,p45_r15,p45_r45,p65_r0}

@data
1.014327,10,0.867021,-75,0.866667,-68,0.610701,-211,1.196881,101,1.009885,6,0.885965,-65,0.958084,-28,0.981788,-11,p15_r-15
1.014327,10,0.867021,-75,0.866667,-68,0.610701,-211,1.196881,101,1.009885,6,0.889474,-63,0.959581,-27,0.983444,-10,p15_r-15
1,0,0.836879,-92,0.727451,-139,0.51476,-263,1.116959,60,1.009885,6,0.885965,-65,0.962575,-25,0.988411,-7,p15_r-15
0.997135,-2,0.83156,-95,0.713726,-146,0.494465,-274,1.116959,60,1.009885,6,0.885965,-65,0.962575,-25,0.988411,-7,p15_r-15
0.992837,-5,0.826241,-98,0.690196,-158,0.47417,-285,1.101365,52,1.009885,6,0.885965,-65,0.962575,-25,0.988411,-7,p15_r-15
0.989971,-7,0.822695,-100,0.688235,-159,0.47417,-285,1.101365,52,1.008237,5,0.885965,-65,0.958084,-28,0.988411,-7,p15_r-15
0.988539,-8,0.820922,-101,0.686275,-160,0.453875,-296,1.095517,49,1.008237,5,0.885965,-65,0.958084,-28,0.981788,-11,p15_r-15
0.989971,-7,0.820922,-101,0.686275,-160,0.453875,-296,1.095517,49,1.009885,6,0.885965,-65,0.958084,-28,0.988411,-7,p15_r-15
0.989971,-7,0.820922,-101,0.686275,-160,0.453875,-296,1.095517,49,1.009885,6,0.885965,-65,0.958084,-28,0.988411,-7,p15_r-15
0.989971,-7,0.820922,-101,0.686275,-160,0.453875,-296,1.097466,50,1.009885,6,0.885965,-65,0.958084,-28,0.988411,-7,p15_r-15
0.989971,-7,0.822695,-100,0.686275,-160,0.453875,-296,1.097466,50,1.014827,9,0.885965,-65,0.962575,-25,0.988411,-7,p15_r-15
0.991404,-6,0.820922,-101,0.688235,-159,0.439114,-304,1.101365,52,1.009885,6,0.885965,-65,0.958084,-28,0.990066,-6,p15_r-15
