# p15_r-15,p15_r0,p15_r15,p15_r45,p25_r0,p45_r-15,p45_r0,p45_r15,p45_r45,p65_r0,p0_r0
1045,263,102,274,153,204,80,128,77,194,230
355,798,324,67,643,1,119,160,13,1,269
58,473,1341,50,432,92,0,157,137,8,2
48,45,64,2193,0,0,50,0,280,56,14
76,212,223,0,1594,99,82,247,134,68,15
155,47,84,75,185,1146,399,213,72,278,96
38,49,67,97,96,556,644,480,143,580,0
5,87,172,36,335,361,465,822,99,293,75
46,100,172,623,6,0,0,106,1433,100,164
83,45,50,23,1,389,395,148,71,1545,0
233,180,66,164,61,66,50,53,200,114,1563
