# p15_r-15,p15_r0,p15_r15,p15_r45,p25_r0,p45_r-15,p45_r0,p45_r15,p45_r45,p65_r0,p0_r0
12082,4364,1854,1586,1696,496,424,1536,744,936,1782
4768,9106,3476,772,5646,270,658,980,194,198,1432
1992,3242,13556,728,3280,556,916,1646,1320,138,126
706,418,152,21148,72,452,0,0,3698,142,712
1700,3486,3404,0,13630,1260,1080,1938,328,562,112
634,266,1466,4,3344,11108,4734,1108,208,4232,396
758,258,462,88,2718,5442,7510,4572,722,4970,0
820,666,1014,482,2356,2992,4452,11254,1016,2206,242
388,366,1434,6264,304,0,88,1860,15634,346,816
188,238,438,156,512,4032,3236,1144,318,16820,418
3090,10,800,780,500,550,500,0,1950,1000,18320
