# p15_r-15,p15_r0,p15_r15,p15_r45,p25_r0,p45_r-15,p45_r0,p45_r15,p45_r45,p65_r0,p0_r0,
0,0,0,0,0,0,0,0,0,0,0,8250
0,0,0,0,0,0,0,0,0,0,0,
0,0,6646,354,0,0,0,1067,0,183,0,
0,0,129,7495,0,0,0,282,0,192,152,
0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,
0,0,868,469,0,0,0,6107,0,750,56,
0,0,0,0,0,0,0,0,0,0,0,
0,0,530,174,0,0,0,1266,0,6214,66,
0,0,489,435,0,0,0,225,0,1278,5823,
,,,,,,,,,,,
,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,
0,0,0.805575758,0.042909091,0,0,0,0.129333333,0,0.022181818,0,
0,0,0.015636364,0.908484848,0,0,0,0.034181818,0,0.023272727,0.018424242,
0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,
0,0,0.105212121,0.056848485,0,0,0,0.740242424,0,0.090909091,0.006787879,
0,0,0,0,0,0,0,0,0,0,0,
0,0,0.064242424,0.021090909,0,0,0,0.153454545,0,0.753212121,0.008,
0,0,0.059272727,0.052727273,0,0,0,0.027272727,0,0.154909091,0.705818182,
