ID,SG0p,SG0m,SG1p,SG1m,SG2p,SG2m,SG3p,SG3m,SG4p,SG4m,SG5p,SG5m,SG6p,SG6m,SG7p,SG7m,SG8p,SG8m
0,111,214,355,0,0,50,0,2343,0,2226,545,0,470,298,980,0,0,869
2,0,1567,147,0,1314,0,0,4491,0,665,770,0,64,0,476,0,0,626
4,91,1293,20,653,0,273,301,1192,0,42,40,346,0,1821,137,0,0,0
6,886,84,0,1939,0,1918,2137,122,0,777,0,1467,329,0,0,909,0,0
9,0,0,0,0,0,512,0,493,0,0,0,475,569,0,0,0,0,0
0,396,749,948,0,152,182,0,2603,0,1407,1704,0,522,478,1306,0,0,1163
2,659,1839,520,0,3557,0,772,4725,0,0,1113,266,0,141,535,0,0,2532
4,610,360,63,75,1101,0,453,1111,0,334,751,0,0,2290,0,40,0,1252
6,3343,0,0,1818,0,3122,2541,78,0,1133,0,2424,76,408,0,836,0,115
9,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0
0,4587,0,1201,0,444,301,1605,0,0,2055,1073,0,0,3582,2589,0,0,2010
2,0,1074,153,0,1457,303,0,3135,0,131,496,48,0,0,157,0,0,831
4,0,4187,0,3420,0,2197,0,9178,0,616,0,4089,1914,0,0,2576,0,606
6,1095,1578,0,2973,0,1818,415,4473,0,951,0,3401,1466,0,0,1424,0,338
9,0,0,0,0,0,0,0,188,0,0,0,0,0,0,0,0,0,473
0,549,124,494,0,788,0,0,476,0,1245,1931,0,248,1192,1473,0,0,2739
2,0,4591,243,0,2545,357,0,10125,0,1792,1314,0,757,0,784,0,0,2662
4,708,455,523,1280,0,92,964,2387,0,581,349,838,0,372,442,0,0,2425
6,1230,1826,0,2324,0,2355,256,5609,0,1395,0,3796,3690,0,0,1405,0,883
9,0,0,0,0,0,0,0,0,0,0,0,0,332,0,0,0,0,1648
0,0,1253,0,1791,0,1552,0,3832,0,1887,0,1354,1300,335,449,782,0,4902
2,630,787,1198,0,1980,0,636,2579,0,0,1363,0,0,1454,1066,0,0,7678
4,1572,941,519,1752,95,1281,1261,3183,0,754,531,1900,0,3713,747,21,0,4141
6,2790,0,0,819,0,3053,2817,0,0,771,0,1367,0,892,470,0,0,2422
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1859
0,716,750,190,72,109,0,144,3006,0,2177,822,0,905,0,1462,0,0,7223
2,594,570,1001,0,960,0,824,2127,0,341,914,0,0,1074,708,0,0,6279
4,288,143,115,1273,416,42,192,3459,0,622,423,544,0,774,168,0,0,7429
6,307,1701,0,2522,0,1891,0,3135,0,1580,0,1892,2820,0,0,1058,0,5093
9,0,0,0,0,0,1096,0,0,0,0,0,943,0,0,0,0,0,2790
0,104,1342,20,519,682,260,0,5520,0,2267,1922,301,1076,504,1434,312,0,4003
2,0,2899,1555,0,6218,259,0,5568,0,159,3699,0,1184,0,245,0,0,4716
4,526,0,305,1295,944,0,1830,454,0,534,388,878,0,1089,168,0,0,2471
6,2496,0,0,2301,237,1567,2150,280,0,1535,0,1339,70,442,0,0,0,3438
9,0,599,0,397,309,0,126,276,0,0,0,255,1098,0,0,268,0,1685
0,0,1098,0,793,0,1014,0,5703,0,1152,0,883,1323,0,439,165,0,2330
2,66,1279,588,0,2299,140,0,3073,0,436,1563,0,0,0,413,0,0,2605
4,616,559,20,1847,406,0,1086,1755,0,437,287,1214,0,1764,433,83,0,3041
6,1792,0,0,862,0,1113,1530,1559,0,1110,0,524,111,202,0,0,0,2802
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1652
0,505,0,0,0,590,0,0,2618,0,1741,1128,0,63,883,828,0,0,3636
2,786,434,1115,0,2602,0,1027,1071,0,0,2182,0,0,528,286,0,0,2991
4,1478,0,127,1705,0,596,1058,514,30,344,0,1469,0,2189,779,0,0,2719
6,2248,133,0,1299,0,1026,1929,628,0,1714,0,362,433,234,0,0,0,2536
9,0,0,0,0,533,0,0,1469,0,0,0,0,399,0,0,0,0,1178
