SG_D0,SG_D1,SG_D2,SG_D3,SG_D4,SG_D5,SG_D6,SG_D7,SG_D8,ID
-58.0,-122.0,40.0,-86.0,20.0,8.0,8.0,-58.0,0.0,1
-59.0,-122.0,40.0,-86.0,20.0,8.0,6.0,-58.0,-1.0,1
-58.0,-119.0,42.0,-86.0,20.0,8.0,8.0,-58.0,0.0,1
-58.0,-119.0,45.0,-86.0,20.0,8.0,8.0,-58.0,0.0,1
-58.0,-117.0,45.0,-86.0,20.0,8.0,9.0,-58.0,0.0,1
-58.0,-117.0,45.0,-86.0,20.0,8.0,10.0,-58.0,0.0,1
-59.0,-117.0,46.0,-93.0,18.0,9.0,9.0,-54.0,-2.0,1
-60.0,-117.0,42.0,-97.0,18.0,4.0,8.0,-54.0,-2.0,1
-61.0,-117.0,42.0,-100.0,17.0,4.0,8.0,-54.0,-2.0,1
-61.0,-117.0,42.0,-100.0,16.0,4.0,7.0,-56.0,-2.0,1
-61.0,-117.0,41.0,-103.0,15.0,4.0,7.0,-56.0,-2.0,1
-61.0,-116.0,42.0,-103.0,16.0,7.0,7.0,-55.0,-2.0,1
-61.0,-111.0,42.0,-103.0,16.0,8.0,7.0,-54.0,-2.0,1
-61.0,-106.0,42.0,-100.0,16.0,8.0,8.0,-54.0,-2.0,1
-61.0,-99.0,42.0,-100.0,16.0,8.0,8.0,-53.0,-2.0,1
-61.0,-97.0,40.0,-103.0,13.0,6.0,9.0,-52.0,-1.0,1
-62.0,-97.0,40.0,-105.0,10.0,6.0,9.0,-52.0,-2.0,1
-62.0,-97.0,40.0,-105.0,10.0,6.0,9.0,-52.0,-2.0,1
-62.0,-97.0,40.0,-106.0,10.0,6.0,7.0,-52.0,-2.0,1
-62.0,-97.0,40.0,-107.0,10.0,6.0,7.0,-52.0,-2.0,1
-61.0,-73.0,40.0,-107.0,13.0,9.0,9.0,-47.0,-1.0,1
-61.0,-73.0,41.0,-107.0,14.0,9.0,9.0,-42.0,1.0,1
-61.0,-71.0,43.0,-106.0,14.0,10.0,9.0,-40.0,2.0,1
-59.0,-71.0,45.0,-106.0,18.0,10.0,12.0,-40.0,3.0,1
-61.0,-70.0,43.0,-105.0,14.0,12.0,12.0,-40.0,4.0,1
-61.0,-71.0,43.0,-108.0,14.0,10.0,12.0,-40.0,4.0,1
-61.0,-71.0,42.0,-114.0,14.0,10.0,11.0,-42.0,4.0,1
-62.0,-71.0,42.0,-117.0,14.0,10.0,10.0,-42.0,2.0,1
-63.0,-71.0,42.0,-121.0,14.0,10.0,10.0,-44.0,2.0,1
-63.0,-70.0,43.0,-117.0,14.0,10.0,11.0,-42.0,2.0,1
-62.0,-70.0,44.0,-117.0,15.0,10.0,12.0,-40.0,4.0,1
-62.0,-70.0,44.0,-117.0,19.0,10.0,12.0,-40.0,4.0,1
-62.0,-69.0,44.0,-117.0,22.0,12.0,13.0,-40.0,6.0,1
-64.0,-68.0,47.0,-122.0,20.0,14.0,14.0,-40.0,6.0,1
-64.0,-68.0,47.0,-122.0,20.0,14.0,14.0,-40.0,6.0,1
-64.0,-68.0,47.0,-123.0,19.0,14.0,14.0,-40.0,6.0,1
-64.0,-68.0,44.0,-126.0,18.0,14.0,14.0,-40.0,6.0,1
-65.0,-68.0,44.0,-128.0,17.0,12.0,12.0,-40.0,6.0,1
-64.0,-64.0,47.0,-128.0,18.0,14.0,12.0,-40.0,7.0,1
-64.0,-58.0,47.0,-126.0,18.0,16.0,14.0,-38.0,7.0,1
-63.0,-57.0,48.0,-126.0,19.0,18.0,14.0,-35.0,7.0,1
-63.0,-50.0,49.0,-126.0,20.0,18.0,15.0,-34.0,9.0,1
-63.0,-46.0,51.0,-129.0,22.0,19.0,17.0,-32.0,11.0,1
-64.0,-46.0,48.0,-129.0,22.0,19.0,17.0,-32.0,11.0,1
-64.0,-46.0,48.0,-130.0,22.0,19.0,17.0,-32.0,11.0,1
-64.0,-46.0,48.0,-130.0,22.0,19.0,17.0,-32.0,11.0,1
-64.0,-46.0,48.0,-131.0,22.0,19.0,17.0,-32.0,11.0,1
-63.0,-33.0,51.0,-128.0,25.0,27.0,18.0,-25.0,11.0,1
-62.0,-32.0,52.0,-127.0,28.0,28.0,18.0,-25.0,16.0,1
-63.0,-26.0,52.0,-127.0,27.0,30.0,17.0,-22.0,16.0,1
19.0,27.0,-50.0,32.0,-56.0,-10.0,-28.0,6.0,-54.0,3
22.0,54.0,-49.0,32.0,-47.0,-9.0,-27.0,7.0,-48.0,3
22.0,100.0,-49.0,36.0,-47.0,4.0,-27.0,16.0,-48.0,3
23.0,127.0,-47.0,36.0,-42.0,14.0,-26.0,19.0,-44.0,3
24.0,132.0,-49.0,40.0,-47.0,14.0,-27.0,23.0,-38.0,3
24.0,132.0,-49.0,32.0,-63.0,10.0,-27.0,21.0,-40.0,3
22.0,132.0,-49.0,27.0,-71.0,4.0,-27.0,21.0,-43.0,3
20.0,132.0,-54.0,25.0,-74.0,4.0,-28.0,21.0,-43.0,3
20.0,132.0,-54.0,23.0,-74.0,4.0,-29.0,21.0,-43.0,3
15.0,148.0,-55.0,6.0,-64.0,5.0,-30.0,23.0,-42.0,3
