SG_D0,SG_D1,SG_D2,SG_D3,SG_D4,SG_D5,SG_D6,SG_D7,SG_D8,ID
-34.0,21.0,61.0,-119.0,27.0,80.0,46.0,118.0,10.0,40
-35.0,19.0,61.0,-121.0,27.0,80.0,46.0,116.0,10.0,40
-37.0,19.0,61.0,-123.0,25.0,80.0,46.0,112.0,10.0,40
-43.0,19.0,61.0,-125.0,25.0,80.0,46.0,112.0,10.0,40
-43.0,21.0,75.0,-125.0,25.0,93.0,49.0,112.0,12.0,40
-43.0,22.0,78.0,-125.0,25.0,104.0,50.0,112.0,18.0,40
-43.0,23.0,78.0,-125.0,27.0,110.0,53.0,112.0,24.0,40
-43.0,24.0,85.0,-131.0,25.0,114.0,53.0,110.0,25.0,40
-52.0,24.0,85.0,-132.0,25.0,114.0,50.0,110.0,25.0,40
-52.0,24.0,85.0,-133.0,25.0,114.0,48.0,110.0,18.0,40
-52.0,22.0,85.0,-138.0,25.0,114.0,48.0,109.0,18.0,40
-52.0,22.0,81.0,-138.0,24.0,114.0,48.0,109.0,18.0,40
-51.0,24.0,85.0,-138.0,24.0,116.0,49.0,109.0,18.0,40
-51.0,24.0,86.0,-138.0,24.0,119.0,49.0,110.0,22.0,40
-52.0,32.0,101.0,-147.0,23.0,135.0,52.0,104.0,32.0,40
-53.0,34.0,101.0,-148.0,22.0,136.0,57.0,104.0,35.0,40
-55.0,33.0,101.0,-149.0,20.0,134.0,57.0,104.0,30.0,40
-55.0,33.0,101.0,-149.0,20.0,134.0,54.0,104.0,30.0,40
-55.0,33.0,101.0,-149.0,19.0,132.0,51.0,104.0,30.0,40
-55.0,33.0,101.0,-150.0,19.0,132.0,50.0,104.0,30.0,40
-54.0,34.0,101.0,-149.0,20.0,134.0,51.0,104.0,30.0,40
-53.0,34.0,103.0,-149.0,21.0,136.0,52.0,104.0,32.0,40
-50.0,35.0,103.0,-148.0,21.0,139.0,52.0,104.0,32.0,40
-54.0,43.0,115.0,-148.0,18.0,148.0,62.0,102.0,48.0,40
-54.0,43.0,111.0,-148.0,16.0,148.0,61.0,101.0,46.0,40
-54.0,43.0,111.0,-148.0,15.0,148.0,58.0,101.0,44.0,40
-54.0,43.0,110.0,-148.0,12.0,147.0,58.0,101.0,43.0,40
-54.0,43.0,106.0,-148.0,12.0,147.0,52.0,101.0,41.0,40
-50.0,46.0,106.0,-146.0,12.0,147.0,52.0,101.0,41.0,40
-50.0,47.0,106.0,-146.0,12.0,147.0,52.0,102.0,41.0,40
-48.0,48.0,106.0,-144.0,12.0,147.0,58.0,102.0,43.0,40
-48.0,48.0,110.0,-142.0,15.0,147.0,58.0,102.0,44.0,40
-50.0,48.0,106.0,-142.0,16.0,147.0,58.0,101.0,43.0,40
-50.0,46.0,103.0,-144.0,16.0,147.0,58.0,100.0,43.0,40
-51.0,46.0,101.0,-144.0,16.0,147.0,58.0,99.0,43.0,40
-52.0,46.0,101.0,-146.0,12.0,147.0,58.0,98.0,43.0,40
-52.0,46.0,101.0,-146.0,12.0,147.0,58.0,98.0,43.0,40
-52.0,48.0,103.0,-146.0,12.0,147.0,58.0,99.0,46.0,40
-51.0,49.0,106.0,-146.0,12.0,148.0,59.0,99.0,48.0,40
-51.0,49.0,106.0,-145.0,12.0,149.0,59.0,99.0,51.0,40
-50.0,51.0,107.0,-145.0,14.0,149.0,59.0,99.0,51.0,40
-51.0,52.0,107.0,-144.0,12.0,147.0,59.0,100.0,51.0,40
