SG_D0,SG_D1,SG_D2,SG_D3,SG_D4,SG_D5,SG_D6,SG_D7,SG_D8,ID
47.0,20.0,-31.0,93.0,-20.0,7.0,3.0,-30.0,-17.0,40
46.0,21.0,-31.0,93.0,-20.0,9.0,3.0,-30.0,-17.0,40
46.0,21.0,-31.0,93.0,-20.0,9.0,3.0,-30.0,-17.0,40
46.0,21.0,-31.0,93.0,-20.0,9.0,3.0,-30.0,-17.0,40
46.0,21.0,-31.0,93.0,-20.0,6.0,3.0,-30.0,-17.0,40
46.0,21.0,-33.0,93.0,-20.0,6.0,2.0,-30.0,-18.0,40
46.0,21.0,-31.0,93.0,-20.0,6.0,3.0,-27.0,-17.0,40
48.0,22.0,-31.0,93.0,-20.0,9.0,3.0,-27.0,-17.0,40
50.0,22.0,-30.0,96.0,-17.0,9.0,3.0,-27.0,-16.0,40
50.0,23.0,-30.0,96.0,-17.0,11.0,3.0,-27.0,-16.0,40
50.0,22.0,-28.0,96.0,-15.0,9.0,4.0,-27.0,-16.0,40
47.0,22.0,-33.0,96.0,-16.0,6.0,2.0,-29.0,-16.0,40
46.0,20.0,-35.0,94.0,-16.0,4.0,0.0,-29.0,-18.0,40
46.0,20.0,-37.0,94.0,-17.0,4.0,-1.0,-29.0,-18.0,40
46.0,20.0,-37.0,93.0,-17.0,4.0,-1.0,-30.0,-21.0,40
47.0,20.0,-37.0,93.0,-16.0,4.0,-1.0,-29.0,-18.0,40
47.0,20.0,-37.0,93.0,-16.0,4.0,-1.0,-28.0,-18.0,40
47.0,20.0,-37.0,93.0,-15.0,4.0,-1.0,-28.0,-18.0,40
48.0,20.0,-37.0,93.0,-15.0,4.0,0.0,-28.0,-18.0,40
48.0,18.0,-39.0,89.0,-16.0,-3.0,0.0,-28.0,-18.0,40
48.0,18.0,-39.0,89.0,-16.0,-3.0,-1.0,-28.0,-18.0,40
48.0,18.0,-40.0,89.0,-16.0,-3.0,-1.0,-29.0,-18.0,40
47.0,18.0,-42.0,89.0,-16.0,-3.0,-1.0,-30.0,-21.0,40
47.0,18.0,-42.0,88.0,-16.0,-3.0,-1.0,-30.0,-21.0,40
47.0,18.0,-40.0,89.0,-16.0,-3.0,-1.0,-30.0,-19.0,40
47.0,18.0,-40.0,90.0,-15.0,-3.0,0.0,-30.0,-18.0,40
48.0,19.0,-40.0,90.0,-15.0,-3.0,0.0,-29.0,-18.0,40
48.0,19.0,-39.0,91.0,-14.0,0.0,3.0,-29.0,-18.0,40
49.0,21.0,-39.0,93.0,-13.0,1.0,3.0,-28.0,-18.0,40
49.0,21.0,-39.0,93.0,-13.0,1.0,3.0,-30.0,-18.0,40
48.0,21.0,-39.0,93.0,-14.0,1.0,3.0,-30.0,-18.0,40
48.0,19.0,-39.0,90.0,-14.0,1.0,3.0,-30.0,-18.0,40
47.0,19.0,-40.0,90.0,-15.0,1.0,2.0,-30.0,-18.0,40
48.0,20.0,-39.0,90.0,-14.0,1.0,3.0,-30.0,-18.0,40
48.0,21.0,-38.0,93.0,-14.0,2.0,4.0,-29.0,-17.0,40
49.0,21.0,-37.0,93.0,-13.0,2.0,5.0,-29.0,-15.0,40
49.0,24.0,-35.0,97.0,-13.0,3.0,5.0,-28.0,-14.0,40
50.0,21.0,-35.0,93.0,-11.0,2.0,6.0,-29.0,-12.0,40
47.0,21.0,-36.0,89.0,-11.0,-2.0,4.0,-30.0,-15.0,40
47.0,18.0,-37.0,89.0,-11.0,-2.0,3.0,-31.0,-15.0,40
47.0,18.0,-39.0,89.0,-12.0,-2.0,3.0,-32.0,-15.0,40
46.0,18.0,-39.0,89.0,-12.0,-2.0,1.0,-32.0,-15.0,40
46.0,18.0,-39.0,89.0,-12.0,-1.0,3.0,-32.0,-14.0,40
46.0,18.0,-37.0,89.0,-11.0,0.0,3.0,-31.0,-14.0,40
46.0,18.0,-37.0,90.0,-11.0,2.0,3.0,-30.0,-14.0,40
47.0,19.0,-37.0,91.0,-11.0,2.0,4.0,-30.0,-14.0,40
47.0,21.0,-36.0,90.0,-10.0,2.0,6.0,-30.0,-14.0,40
46.0,19.0,-36.0,90.0,-11.0,2.0,6.0,-30.0,-14.0,40
46.0,19.0,-37.0,89.0,-12.0,-1.0,6.0,-30.0,-14.0,40
46.0,19.0,-37.0,89.0,-12.0,-1.0,3.0,-30.0,-14.0,40
89.0,55.0,83.0,159.0,31.0,89.0,51.0,-1.0,62.0,40
93.0,74.0,83.0,185.0,37.0,96.0,51.0,4.0,62.0,40
102.0,98.0,83.0,234.0,44.0,102.0,51.0,5.0,62.0,40
116.0,78.0,70.0,220.0,55.0,101.0,48.0,28.0,64.0,40
116.0,78.0,70.0,220.0,58.0,101.0,49.0,28.0,69.0,40
95.0,21.0,32.0,118.0,42.0,24.0,53.0,29.0,59.0,40
94.0,13.0,31.0,114.0,41.0,23.0,51.0,29.0,51.0,40
94.0,12.0,29.0,114.0,40.0,18.0,51.0,29.0,51.0,40
95.0,12.0,29.0,114.0,40.0,18.0,51.0,29.0,51.0,40
96.0,12.0,29.0,116.0,41.0,18.0,53.0,31.0,51.0,40
96.0,13.0,30.0,118.0,42.0,23.0,53.0,35.0,52.0,40
96.0,13.0,30.0,118.0,43.0,24.0,53.0,35.0,53.0,40
95.0,13.0,28.0,118.0,43.0,24.0,54.0,38.0,52.0,40
95.0,13.0,23.0,118.0,43.0,23.0,54.0,38.0,51.0,40
94.0,13.0,23.0,118.0,43.0,23.0,53.0,38.0,51.0,40
94.0,9.0,23.0,118.0,43.0,23.0,53.0,37.0,51.0,40
94.0,9.0,22.0,118.0,43.0,23.0,53.0,37.0,51.0,40
95.0,13.0,23.0,121.0,44.0,24.0,54.0,38.0,52.0,40
96.0,18.0,23.0,121.0,44.0,27.0,56.0,39.0,53.0,40
99.0,23.0,28.0,121.0,46.0,27.0,59.0,39.0,56.0,40
99.0,27.0,28.0,128.0,51.0,29.0,59.0,42.0,56.0,40
101.0,25.0,29.0,131.0,51.0,34.0,62.0,39.0,57.0,40
100.0,25.0,29.0,131.0,46.0,34.0,62.0,36.0,57.0,40
100.0,25.0,32.0,131.0,49.0,35.0,64.0,36.0,59.0,40
100.0,25.0,32.0,131.0,49.0,35.0,65.0,36.0,61.0,40
100.0,25.0,32.0,131.0,49.0,35.0,67.0,36.0,62.0,40
99.0,23.0,32.0,125.0,51.0,34.0,69.0,34.0,62.0,40
99.0,19.0,31.0,124.0,51.0,31.0,69.0,34.0,61.0,40
99.0,22.0,32.0,124.0,51.0,33.0,69.0,33.0,64.0,40
98.0,23.0,35.0,125.0,51.0,34.0,69.0,33.0,62.0,40
98.0,22.0,35.0,123.0,51.0,34.0,69.0,33.0,62.0,40
97.0,22.0,35.0,123.0,51.0,34.0,69.0,33.0,62.0,40
97.0,22.0,35.0,123.0,51.0,34.0,69.0,33.0,62.0,40
94.0,22.0,35.0,121.0,51.0,34.0,69.0,33.0,62.0,40
97.0,22.0,38.0,123.0,52.0,34.0,71.0,33.0,62.0,40
97.0,23.0,38.0,124.0,52.0,34.0,71.0,33.0,64.0,40
96.0,23.0,38.0,121.0,54.0,36.0,77.0,31.0,65.0,40
93.0,20.0,38.0,120.0,51.0,36.0,77.0,31.0,65.0,40
93.0,17.0,37.0,118.0,51.0,34.0,77.0,31.0,65.0,40
92.0,17.0,37.0,118.0,51.0,34.0,74.0,31.0,62.0,40
95.0,22.0,39.0,121.0,51.0,37.0,73.0,33.0,65.0,40
95.0,17.0,39.0,121.0,51.0,37.0,73.0,33.0,62.0,40
95.0,17.0,39.0,121.0,51.0,35.0,73.0,33.0,62.0,40
95.0,21.0,39.0,121.0,51.0,37.0,74.0,35.0,62.0,40
96.0,21.0,39.0,121.0,52.0,37.0,76.0,35.0,62.0,40
96.0,22.0,39.0,121.0,52.0,38.0,76.0,35.0,62.0,40
96.0,22.0,39.0,121.0,55.0,38.0,76.0,38.0,65.0,40
96.0,22.0,39.0,124.0,52.0,37.0,76.0,38.0,62.0,40
96.0,17.0,37.0,121.0,52.0,34.0,76.0,36.0,62.0,40
95.0,17.0,36.0,121.0,51.0,34.0,74.0,36.0,62.0,40
43.0,34.0,69.0,160.0,-28.0,58.0,-53.0,34.0,53.0,40
42.0,33.0,64.0,155.0,-30.0,55.0,-53.0,34.0,53.0,40
41.0,32.0,62.0,143.0,-30.0,51.0,-54.0,34.0,53.0,40
40.0,27.0,60.0,142.0,-31.0,49.0,-57.0,34.0,52.0,40
40.0,27.0,60.0,142.0,-31.0,49.0,-55.0,34.0,52.0,40
40.0,27.0,60.0,142.0,-30.0,49.0,-54.0,34.0,53.0,40
40.0,27.0,60.0,142.0,-30.0,49.0,-53.0,34.0,53.0,40
40.0,27.0,60.0,142.0,-28.0,49.0,-53.0,35.0,53.0,40
38.0,8.0,62.0,117.0,-30.0,30.0,-53.0,35.0,52.0,40
35.0,8.0,60.0,112.0,-30.0,30.0,-53.0,35.0,51.0,40
35.0,8.0,60.0,112.0,-31.0,30.0,-55.0,35.0,49.0,40
32.0,8.0,60.0,112.0,-32.0,30.0,-55.0,34.0,49.0,40
32.0,8.0,60.0,112.0,-32.0,29.0,-55.0,32.0,49.0,40
33.0,9.0,61.0,116.0,-32.0,30.0,-55.0,34.0,49.0,40
33.0,10.0,62.0,116.0,-32.0,30.0,-54.0,34.0,49.0,40
33.0,13.0,62.0,117.0,-32.0,30.0,-54.0,34.0,49.0,40
35.0,15.0,64.0,117.0,-32.0,30.0,-54.0,34.0,51.0,40
33.0,15.0,64.0,117.0,-33.0,33.0,-53.0,35.0,51.0,40
33.0,14.0,64.0,117.0,-33.0,33.0,-53.0,34.0,51.0,40
33.0,14.0,62.0,117.0,-34.0,33.0,-54.0,34.0,49.0,40
33.0,14.0,62.0,115.0,-34.0,30.0,-54.0,34.0,49.0,40
32.0,14.0,62.0,115.0,-34.0,30.0,-55.0,34.0,48.0,40
33.0,14.0,64.0,115.0,-33.0,32.0,-54.0,35.0,49.0,40
33.0,15.0,64.0,117.0,-33.0,33.0,-53.0,35.0,49.0,40
36.0,15.0,67.0,117.0,-33.0,33.0,-50.0,35.0,52.0,40
32.0,12.0,67.0,112.0,-34.0,30.0,-52.0,34.0,51.0,40
28.0,5.0,66.0,110.0,-36.0,29.0,-52.0,33.0,51.0,40
27.0,3.0,66.0,97.0,-36.0,28.0,-52.0,32.0,51.0,40
27.0,3.0,66.0,97.0,-37.0,28.0,-53.0,32.0,48.0,40
27.0,3.0,66.0,101.0,-36.0,28.0,-53.0,32.0,48.0,40
27.0,4.0,66.0,102.0,-36.0,29.0,-53.0,32.0,48.0,40
27.0,5.0,67.0,104.0,-36.0,29.0,-53.0,32.0,51.0,40
28.0,10.0,67.0,106.0,-36.0,29.0,-53.0,32.0,51.0,40
28.0,11.0,67.0,104.0,-36.0,29.0,-52.0,32.0,51.0,40
27.0,5.0,67.0,103.0,-36.0,29.0,-52.0,32.0,51.0,40
27.0,5.0,67.0,101.0,-36.0,29.0,-52.0,28.0,51.0,40
27.0,5.0,67.0,98.0,-38.0,29.0,-52.0,28.0,51.0,40
26.0,5.0,67.0,98.0,-39.0,29.0,-52.0,27.0,51.0,40
26.0,5.0,69.0,98.0,-39.0,29.0,-52.0,28.0,51.0,40
26.0,5.0,72.0,98.0,-38.0,29.0,-50.0,28.0,54.0,40
27.0,5.0,79.0,98.0,-36.0,29.0,-50.0,28.0,55.0,40
27.0,7.0,79.0,98.0,-36.0,31.0,-49.0,28.0,56.0,40
27.0,8.0,79.0,98.0,-36.0,31.0,-49.0,28.0,55.0,40
26.0,5.0,79.0,95.0,-36.0,31.0,-49.0,27.0,55.0,40
26.0,5.0,79.0,95.0,-36.0,31.0,-49.0,25.0,55.0,40
26.0,5.0,79.0,94.0,-36.0,31.0,-49.0,25.0,55.0,40
25.0,5.0,79.0,94.0,-38.0,31.0,-50.0,25.0,55.0,40
25.0,5.0,80.0,95.0,-36.0,34.0,-49.0,25.0,57.0,40
25.0,8.0,80.0,98.0,-36.0,35.0,-49.0,26.0,57.0,40
26.0,11.0,81.0,99.0,-35.0,35.0,-46.0,26.0,59.0,40
56.0,-46.0,-1.0,142.0,-68.0,-11.0,-18.0,-110.0,41.0,40
58.0,-46.0,0.0,142.0,-67.0,-11.0,-15.0,-107.0,43.0,40
58.0,-46.0,0.0,153.0,-67.0,-6.0,-15.0,-106.0,43.0,40
58.0,-47.0,2.0,142.0,-63.0,-11.0,-14.0,-107.0,43.0,40
56.0,-47.0,0.0,142.0,-69.0,-11.0,-14.0,-107.0,41.0,40
56.0,-54.0,0.0,133.0,-69.0,-15.0,-14.0,-109.0,41.0,40
53.0,-54.0,0.0,133.0,-71.0,-15.0,-15.0,-109.0,38.0,40
53.0,-58.0,0.0,127.0,-71.0,-19.0,-15.0,-111.0,38.0,40
53.0,-54.0,2.0,133.0,-71.0,-15.0,-15.0,-109.0,38.0,40
56.0,-54.0,2.0,133.0,-69.0,-15.0,-14.0,-107.0,38.0,40
56.0,-54.0,2.0,133.0,-69.0,-15.0,-14.0,-106.0,38.0,40
56.0,-54.0,2.0,133.0,-69.0,-15.0,-14.0,-106.0,38.0,40
52.0,-58.0,0.0,115.0,-70.0,-26.0,-18.0,-104.0,35.0,40
51.0,-64.0,0.0,115.0,-74.0,-26.0,-18.0,-104.0,32.0,40
51.0,-66.0,-1.0,115.0,-74.0,-27.0,-19.0,-104.0,32.0,40
50.0,-67.0,-2.0,115.0,-74.0,-27.0,-19.0,-104.0,26.0,40
48.0,-67.0,-4.0,115.0,-74.0,-27.0,-21.0,-104.0,25.0,40
48.0,-66.0,-3.0,120.0,-73.0,-27.0,-21.0,-104.0,25.0,40
48.0,-64.0,-3.0,120.0,-73.0,-27.0,-21.0,-101.0,25.0,40
48.0,-64.0,-3.0,120.0,-71.0,-27.0,-21.0,-101.0,25.0,40
48.0,-64.0,-3.0,124.0,-70.0,-27.0,-19.0,-98.0,25.0,40
46.0,-64.0,-7.0,125.0,-69.0,-27.0,-19.0,-95.0,26.0,40
45.0,-68.0,-7.0,121.0,-69.0,-30.0,-19.0,-99.0,26.0,40
45.0,-68.0,-8.0,121.0,-69.0,-30.0,-21.0,-99.0,22.0,40
45.0,-68.0,-8.0,121.0,-69.0,-30.0,-21.0,-99.0,22.0,40
45.0,-68.0,-8.0,121.0,-69.0,-30.0,-22.0,-99.0,21.0,40
46.0,-66.0,-7.0,125.0,-67.0,-30.0,-21.0,-95.0,22.0,40
46.0,-65.0,-7.0,126.0,-67.0,-29.0,-21.0,-95.0,26.0,40
46.0,-65.0,-7.0,126.0,-65.0,-29.0,-19.0,-95.0,28.0,40
46.0,-65.0,-7.0,127.0,-65.0,-27.0,-18.0,-94.0,31.0,40
45.0,-65.0,-7.0,126.0,-65.0,-29.0,-18.0,-95.0,32.0,40
44.0,-69.0,-8.0,126.0,-65.0,-29.0,-18.0,-95.0,32.0,40
44.0,-72.0,-8.0,120.0,-65.0,-29.0,-18.0,-99.0,32.0,40
44.0,-72.0,-8.0,120.0,-65.0,-29.0,-18.0,-99.0,32.0,40
44.0,-62.0,-4.0,118.0,-61.0,-25.0,-7.0,-101.0,35.0,40
44.0,-62.0,-2.0,118.0,-61.0,-25.0,-6.0,-100.0,38.0,40
44.0,-62.0,-1.0,118.0,-61.0,-25.0,-5.0,-100.0,40.0,40
44.0,-62.0,-1.0,118.0,-61.0,-25.0,-5.0,-100.0,40.0,40
44.0,-62.0,0.0,118.0,-61.0,-25.0,-4.0,-99.0,41.0,40
43.0,-61.0,1.0,111.0,-61.0,-24.0,0.0,-99.0,43.0,40
41.0,-63.0,2.0,109.0,-60.0,-23.0,3.0,-99.0,45.0,40
43.0,-63.0,2.0,110.0,-60.0,-23.0,3.0,-92.0,45.0,40
44.0,-63.0,3.0,109.0,-60.0,-23.0,5.0,-94.0,45.0,40
41.0,-63.0,1.0,109.0,-62.0,-23.0,0.0,-94.0,42.0,40
41.0,-63.0,1.0,106.0,-62.0,-27.0,0.0,-99.0,42.0,40
41.0,-63.0,0.0,103.0,-65.0,-27.0,0.0,-99.0,41.0,40
41.0,-67.0,0.0,103.0,-66.0,-28.0,0.0,-99.0,41.0,40
41.0,-67.0,0.0,103.0,-66.0,-28.0,1.0,-94.0,42.0,40
41.0,-67.0,0.0,103.0,-65.0,-28.0,2.0,-94.0,45.0,40
41.0,-67.0,0.0,103.0,-65.0,-27.0,3.0,-94.0,45.0,40
33.0,-3.0,-44.0,55.0,-26.0,-30.0,-4.0,-19.0,-27.0,80
33.0,-3.0,-44.0,47.0,-26.0,-38.0,-6.0,-19.0,-32.0,80
35.0,-3.0,-42.0,47.0,-26.0,-38.0,-4.0,-18.0,-32.0,80
35.0,-3.0,-42.0,47.0,-26.0,-33.0,-4.0,-18.0,-32.0,80
35.0,-3.0,-42.0,47.0,-26.0,-33.0,-3.0,-18.0,-32.0,80
36.0,-3.0,-42.0,47.0,-26.0,-33.0,-3.0,-18.0,-32.0,80
35.0,-4.0,-48.0,46.0,-26.0,-40.0,-2.0,-17.0,-30.0,80
33.0,-7.0,-48.0,44.0,-27.0,-45.0,-5.0,-17.0,-33.0,80
33.0,-7.0,-48.0,42.0,-27.0,-45.0,-6.0,-18.0,-36.0,80
31.0,-8.0,-48.0,41.0,-27.0,-46.0,-6.0,-19.0,-36.0,80
31.0,-10.0,-48.0,41.0,-27.0,-49.0,-8.0,-19.0,-37.0,80
31.0,-8.0,-48.0,41.0,-27.0,-49.0,-8.0,-18.0,-37.0,80
31.0,-8.0,-48.0,41.0,-27.0,-49.0,-8.0,-18.0,-36.0,80
31.0,-8.0,-48.0,41.0,-27.0,-49.0,-8.0,-18.0,-36.0,80
31.0,-8.0,-48.0,41.0,-27.0,-49.0,-6.0,-18.0,-36.0,80
27.0,-14.0,-48.0,36.0,-27.0,-53.0,-8.0,-18.0,-36.0,80
27.0,-16.0,-48.0,34.0,-27.0,-59.0,-8.0,-18.0,-36.0,80
26.0,-16.0,-48.0,29.0,-29.0,-59.0,-8.0,-18.0,-37.0,80
26.0,-18.0,-48.0,28.0,-29.0,-63.0,-8.0,-18.0,-37.0,80
26.0,-18.0,-50.0,28.0,-31.0,-63.0,-8.0,-18.0,-37.0,80
26.0,-18.0,-48.0,28.0,-29.0,-63.0,-8.0,-18.0,-37.0,80
26.0,-16.0,-48.0,29.0,-29.0,-59.0,-8.0,-17.0,-37.0,80
27.0,-16.0,-48.0,29.0,-27.0,-59.0,-8.0,-17.0,-36.0,80
