SG_D0,SG_D1,SG_D2,SG_D3,SG_D4,SG_D5,SG_D6,SG_D7,SG_D8,ID
62.0,-54.0,109.0,188.0,-258.0,228.0,-140.0,71.0,-8.0,40
66.0,-54.0,116.0,197.0,-256.0,230.0,-138.0,74.0,-7.0,40
69.0,-50.0,117.0,198.0,-255.0,236.0,-138.0,77.0,-6.0,40
70.0,-47.0,120.0,198.0,-252.0,241.0,-138.0,77.0,-5.0,40
70.0,-46.0,122.0,199.0,-252.0,243.0,-138.0,81.0,-5.0,40
70.0,-46.0,124.0,198.0,-251.0,244.0,-138.0,81.0,-5.0,40
70.0,-46.0,122.0,198.0,-256.0,244.0,-138.0,78.0,-7.0,40
70.0,-47.0,122.0,198.0,-258.0,244.0,-138.0,78.0,-8.0,40
70.0,-52.0,121.0,198.0,-260.0,244.0,-139.0,78.0,-9.0,40
70.0,-52.0,120.0,198.0,-261.0,244.0,-139.0,78.0,-10.0,40
71.0,-52.0,120.0,198.0,-261.0,248.0,-139.0,78.0,-10.0,40
72.0,-52.0,120.0,198.0,-260.0,248.0,-139.0,81.0,-10.0,40
72.0,-52.0,120.0,202.0,-258.0,248.0,-139.0,81.0,-10.0,40
75.0,-52.0,120.0,202.0,-258.0,248.0,-139.0,81.0,-10.0,40
72.0,-52.0,115.0,198.0,-257.0,236.0,-142.0,81.0,-11.0,40
72.0,-54.0,114.0,198.0,-257.0,229.0,-142.0,81.0,-12.0,40
71.0,-56.0,108.0,198.0,-258.0,229.0,-142.0,81.0,-13.0,40
70.0,-56.0,108.0,197.0,-259.0,228.0,-143.0,81.0,-15.0,40
70.0,-57.0,108.0,196.0,-259.0,228.0,-144.0,81.0,-16.0,40
70.0,-57.0,108.0,197.0,-258.0,229.0,-144.0,83.0,-16.0,40
71.0,-57.0,108.0,197.0,-258.0,229.0,-144.0,83.0,-16.0,40
72.0,-57.0,108.0,197.0,-258.0,229.0,-144.0,84.0,-16.0,40
72.0,-56.0,108.0,197.0,-257.0,229.0,-143.0,84.0,-16.0,40
70.0,-56.0,108.0,195.0,-258.0,229.0,-144.0,84.0,-17.0,40
70.0,-56.0,107.0,194.0,-258.0,228.0,-145.0,84.0,-17.0,40
68.0,-56.0,107.0,192.0,-258.0,227.0,-146.0,84.0,-18.0,40
68.0,-56.0,107.0,189.0,-259.0,227.0,-146.0,83.0,-18.0,40
68.0,-56.0,106.0,189.0,-263.0,227.0,-146.0,83.0,-18.0,40
69.0,-56.0,107.0,189.0,-259.0,227.0,-146.0,83.0,-18.0,40
69.0,-55.0,107.0,189.0,-259.0,227.0,-146.0,83.0,-18.0,40
69.0,-54.0,107.0,192.0,-258.0,227.0,-145.0,83.0,-18.0,40
69.0,-54.0,108.0,192.0,-258.0,228.0,-145.0,84.0,-17.0,40
68.0,-54.0,108.0,192.0,-258.0,227.0,-145.0,83.0,-17.0,40
66.0,-54.0,107.0,192.0,-259.0,227.0,-146.0,83.0,-18.0,40
66.0,-56.0,106.0,189.0,-259.0,223.0,-146.0,83.0,-18.0,40
66.0,-56.0,101.0,186.0,-259.0,223.0,-147.0,83.0,-18.0,40
66.0,-56.0,101.0,185.0,-259.0,220.0,-148.0,83.0,-19.0,40
66.0,-56.0,101.0,185.0,-258.0,220.0,-148.0,84.0,-18.0,40
66.0,-56.0,101.0,185.0,-258.0,220.0,-147.0,84.0,-18.0,40
66.0,-56.0,101.0,185.0,-258.0,220.0,-147.0,86.0,-18.0,40
66.0,-55.0,101.0,185.0,-258.0,220.0,-147.0,86.0,-18.0,40
63.0,-56.0,90.0,174.0,-257.0,207.0,-149.0,85.0,-21.0,40
62.0,-56.0,90.0,172.0,-258.0,203.0,-149.0,83.0,-21.0,40
60.0,-56.0,88.0,171.0,-258.0,197.0,-152.0,83.0,-22.0,40
58.0,-58.0,88.0,168.0,-258.0,196.0,-153.0,83.0,-23.0,40
58.0,-58.0,87.0,166.0,-258.0,190.0,-153.0,83.0,-25.0,40
58.0,-58.0,87.0,166.0,-257.0,190.0,-152.0,83.0,-25.0,40
58.0,-58.0,87.0,166.0,-254.0,190.0,-152.0,83.0,-25.0,40
58.0,-58.0,87.0,166.0,-253.0,190.0,-152.0,83.0,-25.0,40
58.0,-58.0,87.0,166.0,-249.0,190.0,-152.0,83.0,-23.0,40
