SG_D0,SG_D1,SG_D2,SG_D3,SG_D4,SG_D5,SG_D6,SG_D7,SG_D8,ID
-13.0,-5.0,28.0,-97.0,-21.0,8.0,69.0,61.0,-63.0,120
-17.0,-6.0,24.0,-103.0,-34.0,-10.0,69.0,48.0,-63.0,120
-17.0,-14.0,20.0,-104.0,-34.0,-14.0,69.0,45.0,-64.0,120
-18.0,-14.0,5.0,-111.0,-34.0,-14.0,69.0,45.0,-64.0,120
-65.0,-56.0,-31.0,-185.0,-55.0,-79.0,76.0,-3.0,-40.0,120
-62.0,-51.0,-17.0,-183.0,-52.0,-74.0,76.0,-3.0,-40.0,120
-62.0,-51.0,-8.0,-175.0,-51.0,-73.0,69.0,6.0,-49.0,120
-62.0,-51.0,-8.0,-175.0,-51.0,-73.0,69.0,6.0,-49.0,120
-62.0,-51.0,-8.0,-175.0,-51.0,-73.0,67.0,6.0,-49.0,120
-60.0,-42.0,-1.0,-169.0,-46.0,-56.0,67.0,13.0,-49.0,120
-60.0,-40.0,8.0,-169.0,-44.0,-51.0,67.0,14.0,-49.0,120
-57.0,-37.0,10.0,-162.0,-43.0,-48.0,67.0,17.0,-49.0,120
-56.0,-37.0,10.0,-162.0,-43.0,-48.0,67.0,17.0,-49.0,120
-57.0,-36.0,10.0,-163.0,-43.0,-46.0,62.0,16.0,-53.0,120
-59.0,-36.0,10.0,-164.0,-43.0,-46.0,61.0,16.0,-54.0,120
-60.0,-36.0,10.0,-164.0,-43.0,-46.0,59.0,16.0,-55.0,120
-59.0,-35.0,21.0,-159.0,-38.0,-37.0,58.0,21.0,-57.0,120
-57.0,-34.0,24.0,-157.0,-38.0,-34.0,56.0,21.0,-61.0,120
-57.0,-34.0,24.0,-157.0,-38.0,-34.0,55.0,21.0,-66.0,120
-57.0,-34.0,24.0,-157.0,-38.0,-34.0,53.0,21.0,-67.0,120
-57.0,-34.0,24.0,-157.0,-38.0,-34.0,46.0,21.0,-69.0,120
-57.0,-34.0,24.0,-157.0,-38.0,-34.0,45.0,21.0,-69.0,120
-49.0,-30.0,27.0,-147.0,-34.0,-25.0,45.0,31.0,-69.0,120
-47.0,-24.0,27.0,-144.0,-34.0,-18.0,45.0,36.0,-69.0,120
-45.0,-22.0,28.0,-139.0,-34.0,-15.0,45.0,37.0,-69.0,120
-43.0,-22.0,28.0,-136.0,-34.0,-15.0,45.0,37.0,-69.0,120
-51.0,-35.0,0.0,-148.0,-46.0,-31.0,55.0,29.0,-69.0,120
-49.0,-33.0,1.0,-145.0,-44.0,-28.0,55.0,32.0,-67.0,120
-48.0,-32.0,4.0,-141.0,-38.0,-26.0,56.0,35.0,-64.0,120
-47.0,-28.0,9.0,-139.0,-34.0,-26.0,56.0,35.0,-64.0,120
-44.0,-24.0,13.0,-139.0,-34.0,-25.0,57.0,35.0,-63.0,120
-43.0,-27.0,16.0,-139.0,-34.0,-26.0,56.0,33.0,-62.0,120
-43.0,-28.0,16.0,-139.0,-35.0,-26.0,55.0,33.0,-62.0,120
-43.0,-28.0,12.0,-139.0,-35.0,-26.0,50.0,33.0,-64.0,120
-43.0,-28.0,12.0,-139.0,-35.0,-28.0,50.0,32.0,-64.0,120
-43.0,-30.0,9.0,-141.0,-36.0,-28.0,50.0,32.0,-64.0,120
-43.0,-30.0,9.0,-141.0,-36.0,-28.0,55.0,32.0,-62.0,120
-43.0,-30.0,9.0,-141.0,-36.0,-28.0,56.0,32.0,-62.0,120
-43.0,-30.0,9.0,-141.0,-35.0,-28.0,58.0,32.0,-61.0,120
-43.0,-28.0,12.0,-139.0,-35.0,-28.0,60.0,33.0,-57.0,120
-43.0,-30.0,12.0,-141.0,-34.0,-26.0,61.0,34.0,-57.0,120
-44.0,-30.0,9.0,-141.0,-35.0,-28.0,61.0,32.0,-57.0,120
-45.0,-30.0,2.0,-143.0,-38.0,-31.0,61.0,29.0,-57.0,120
-45.0,-31.0,2.0,-145.0,-38.0,-33.0,61.0,29.0,-57.0,120
-45.0,-31.0,2.0,-147.0,-38.0,-33.0,61.0,28.0,-57.0,120
-45.0,-31.0,5.0,-152.0,-38.0,-33.0,65.0,27.0,-53.0,120
-45.0,-31.0,5.0,-152.0,-38.0,-33.0,68.0,27.0,-51.0,120
-45.0,-31.0,8.0,-152.0,-37.0,-33.0,72.0,27.0,-48.0,120
-45.0,-31.0,10.0,-152.0,-35.0,-33.0,72.0,27.0,-48.0,120
-48.0,-31.0,11.0,-155.0,-35.0,-33.0,72.0,28.0,-49.0,120
