ID,SG0p,SG0m,SG1p,SG1m,SG2p,SG2m,SG3p,SG3m,SG4p,SG4m,SG5p,SG5m,SG6p,SG6m,SG7p,SG7m,SG8p,SG8m
0,0,0,0,1389,2436,0,2570,0,612,0,647,0,0,3565,1655,0,0,5763
1,0,197,0,339,4648,0,2960,0,774,0,1690,0,0,2214,1625,0,0,4413
2,0,582,212,0,5062,0,302,263,864,0,335,0,0,962,309,0,0,3930
3,0,694,0,682,2317,0,487,788,80,0,148,590,0,2142,860,0,0,4485
4,0,466,0,1566,1123,0,890,370,205,460,71,372,0,2894,1324,0,0,4708
5,0,0,0,2409,0,2281,414,0,0,1074,0,1843,0,2817,636,0,0,2966
6,137,0,0,1742,0,1137,2410,0,112,382,144,289,0,2883,1017,0,0,3471
7,96,0,0,2171,1163,0,2692,0,333,0,0,830,0,3386,1073,0,0,4769
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,923
0,0,22,0,1033,1224,158,748,253,0,132,0,774,0,2498,598,0,0,4301
1,0,480,0,348,1651,0,1606,0,196,0,86,595,0,2189,589,0,0,4899
2,0,904,0,0,4023,0,70,826,0,146,117,138,0,1569,714,0,0,4862
3,0,1191,0,982,1794,0,359,2200,98,421,0,480,0,1775,1036,0,0,4320
4,0,302,0,1742,0,664,190,715,71,772,0,710,45,2156,952,0,0,4156
5,0,0,0,2286,378,1076,1550,0,474,845,0,1609,0,3444,1670,0,0,3985
6,82,0,0,1063,32,277,1738,0,50,0,0,112,0,2275,478,0,0,2493
7,336,0,0,1243,346,0,3216,0,181,0,0,127,0,3265,891,0,0,3790
9,0,0,0,0,0,0,246,0,0,0,0,0,0,0,0,0,0,1022
0,0,0,0,1503,2727,0,2243,0,192,0,0,491,0,2982,976,0,0,4178
1,0,592,0,639,2735,0,406,0,556,0,0,466,0,1675,392,0,0,3976
2,0,658,20,0,3373,0,332,0,761,0,179,0,0,1561,948,0,0,4214
3,0,970,0,672,2289,0,726,860,306,0,142,0,0,2705,1263,0,0,4399
4,0,606,0,1152,202,410,120,1040,0,620,0,872,125,1761,551,0,0,3760
5,0,0,0,2631,0,3128,0,0,0,1330,0,1846,0,2748,666,0,0,3503
6,247,0,0,2074,0,1476,1936,0,67,341,0,994,0,2637,661,0,0,3269
7,118,0,0,1513,419,0,2122,0,216,0,0,344,0,2393,628,0,0,2690
9,0,0,0,0,457,0,456,0,172,0,0,0,0,0,0,0,0,814
0,0,0,0,607,2006,0,1525,29,641,0,0,266,0,1806,754,0,0,3349
1,0,328,0,402,3771,0,927,0,369,118,119,0,0,1671,675,0,0,3253
2,0,263,0,0,1914,0,364,0,481,0,63,0,0,1109,351,0,0,2851
3,0,913,0,601,2328,0,477,848,200,0,0,223,0,1944,697,0,0,3561
4,0,304,0,1520,0,1656,0,993,0,914,20,651,0,1548,830,0,0,2249
5,0,0,0,1684,204,1655,1231,0,390,419,26,725,0,1993,606,0,0,2535
6,0,0,0,1974,0,890,1070,0,0,193,0,667,0,2059,564,0,0,2620
7,439,0,0,1561,0,640,2422,0,0,176,0,405,0,2490,338,0,0,1866
9,0,0,0,0,0,0,572,0,60,0,0,0,0,0,0,0,0,642
0,0,0,0,711,3071,0,2313,0,269,0,316,0,0,1767,915,0,0,2791
1,0,634,0,629,4334,0,1284,0,852,0,52,151,0,1898,678,0,0,4246
2,0,545,437,0,3638,0,40,88,328,0,242,0,84,703,604,0,0,3036
3,0,1362,0,936,1001,0,0,2355,0,631,0,244,0,1574,1087,0,0,2898
