ID,SG0p,SG0m,SG1p,SG1m,SG2p,SG2m,SG3p,SG3m,SG4p,SG4m,SG5p,SG5m,SG6p,SG6m,SG7p,SG7m,SG8p,SG8m
0,108,154,152,116,2996,0,0,592,88,1125,412,413,0,1738,0,120,0,3311
2,0,229,0,718,675,0,0,1063,0,630,516,0,0,1531,0,582,0,5521
4,2138,0,449,0,0,1178,1212,0,412,0,438,0,0,2499,623,0,0,2721
6,1139,0,0,0,0,1097,1034,0,0,25,0,549,0,325,108,0,0,6109
8,0,0,0,0,0,344,0,100,0,0,0,68,0,270,0,0,0,4250
0,92,192,0,0,2187,0,0,449,20,0,890,0,0,357,0,0,0,5621
2,0,419,0,0,1200,0,0,582,611,0,1132,0,0,160,0,0,0,3172
4,582,0,797,0,572,0,569,0,555,0,922,0,0,1206,84,0,0,5298
6,553,0,0,427,0,744,422,0,0,951,0,1066,182,768,0,0,0,6127
8,0,0,0,0,0,282,0,0,206,0,300,0,0,460,0,0,0,4460
0,812,0,401,0,2163,60,468,0,455,0,834,0,0,1135,215,0,0,8594
2,0,1010,23,0,3342,0,0,1442,410,0,1618,0,0,438,0,130,0,8284
4,624,0,439,0,203,0,420,0,0,20,395,0,0,1903,50,0,0,7870
6,1314,0,0,88,0,1686,736,0,0,460,0,765,0,2571,105,0,0,9295
8,0,333,0,0,0,0,0,361,0,0,0,0,0,0,0,0,0,5774
0,673,269,1198,0,7467,0,400,665,1243,0,2783,0,0,2186,228,0,0,11973
2,0,633,0,112,3364,110,0,774,0,0,1400,0,0,1003,0,406,0,8745
4,1278,0,287,0,0,201,980,0,134,0,0,0,0,1664,64,0,0,8789
6,292,0,0,370,0,1947,225,0,0,568,0,1267,0,1389,0,0,0,9440
8,0,0,0,48,0,0,0,238,0,570,0,0,0,1084,0,0,0,13396
0,435,153,84,166,2469,0,220,284,72,86,510,0,0,1483,126,0,0,10665
2,0,0,0,240,579,0,0,0,174,0,938,0,46,664,0,0,0,11421
4,778,0,356,0,0,320,527,0,0,598,83,249,0,1969,66,0,0,12916
6,2893,0,0,0,0,1457,2451,0,0,161,0,1052,42,1380,160,0,0,9809
8,1833,0,265,708,0,1743,386,0,315,1046,46,218,0,1960,297,0,0,13083
0,352,313,567,0,4221,0,171,389,400,53,2123,0,0,802,163,0,0,10610
2,0,646,42,0,2265,0,0,1229,344,0,1968,0,0,638,0,205,0,7657
4,1863,0,1046,0,69,0,1806,0,586,0,670,0,0,2020,144,0,0,10820
6,1433,0,0,210,0,1622,984,0,0,205,0,1152,0,1757,132,0,0,8375
8,422,0,0,634,0,2028,0,0,113,705,0,144,0,1870,0,0,0,13175
0,551,0,1242,0,3373,0,186,0,1267,0,2505,0,0,1475,467,0,0,13906
2,0,505,0,69,1880,80,0,612,60,0,1204,0,0,460,0,0,0,13543
4,2278,0,1156,0,0,105,2433,0,394,0,294,0,0,2282,241,0,0,14550
6,427,0,0,256,0,873,297,0,0,248,0,674,0,1146,0,0,0,9928
8,776,0,0,1144,0,1609,0,725,85,1013,0,48,0,2348,0,0,0,14987
0,454,180,146,99,1287,0,518,451,240,83,494,24,126,1242,159,0,0,13686
2,0,521,44,425,3611,0,0,0,432,0,3003,0,0,1646,0,0,0,14333
4,236,0,1023,0,302,80,523,0,542,0,1247,0,0,1732,309,0,0,13532
6,2085,0,0,883,0,467,1463,0,0,518,0,929,0,840,0,0,0,12449
8,851,0,70,298,0,643,0,112,219,746,689,0,0,3391,226,0,0,15670
0,1106,609,775,0,2774,0,667,1037,631,76,2248,0,0,2545,601,0,0,17436
2,0,260,0,0,1286,0,0,461,0,0,1112,0,0,180,0,0,0,13726
4,1644,0,1079,0,482,0,1950,0,383,0,387,0,0,1464,0,0,0,14440
6,1442,0,0,0,29,729,1769,0,0,0,0,544,0,2886,637,0,0,17890
8,1823,0,0,1833,0,1306,21,0,74,1388,0,372,0,4067,199,0,0,17721
