ID,SG0p,SG0m,SG1p,SG1m,SG2p,SG2m,SG3p,SG3m,SG4p,SG4m,SG5p,SG5m,SG6p,SG6m,SG7p,SG7m,SG8p,SG8m
0,3986,0,2037,0,0,105,466,0,0,244,1300,0,0,2107,1474,0,0,1048
2,0,3350,60,956,1594,0,0,3332,0,547,889,0,0,210,0,0,0,245
4,0,1902,0,1925,0,431,0,495,0,544,0,1634,84,0,0,339,0,0
6,3925,0,1863,184,0,1998,2643,0,0,0,0,707,0,736,0,0,229,0
9,213,0,0,0,0,0,331,0,0,0,0,0,0,0,0,0,412,0
0,4043,0,1710,0,0,201,1334,0,0,0,531,0,0,1859,1179,0,0,799
2,0,5007,0,1909,2016,0,0,5303,0,368,893,0,0,925,89,0,0,1181
4,0,5137,0,4213,0,2013,0,2661,0,1871,0,3596,0,0,0,1299,0,507
6,4226,0,2004,144,0,2377,3670,0,326,0,0,744,73,501,248,0,346,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3901,0,2032,0,109,0,1250,0,0,0,1219,0,0,1729,1427,0,0,1126
2,21,3815,42,824,3560,0,0,4272,0,398,1703,0,0,896,0,0,0,1668
4,0,2603,0,2026,0,924,0,1322,0,1341,80,1807,0,0,0,1019,0,501
6,2966,0,1436,0,0,1929,2676,0,198,0,0,246,0,554,77,0,26,0
9,0,0,100,0,0,0,0,0,0,0,410,0,0,0,0,0,0,0
0,2990,0,1814,0,69,0,393,0,0,224,1368,0,0,1944,1366,0,0,1525
2,0,6595,0,1872,2943,0,0,6092,0,574,1077,0,0,1016,0,0,0,1887
4,416,2129,68,1889,0,1005,426,1190,0,854,0,1573,0,124,0,372,0,1062
6,4305,0,1641,174,0,1507,3513,0,236,0,0,268,0,997,377,0,0,119
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
0,1969,0,527,0,21,189,128,0,0,523,0,104,0,1569,636,0,0,1978
2,0,5259,0,1889,2176,0,0,5435,0,424,656,0,0,403,0,353,0,2081
4,0,3151,0,2352,60,1129,0,1646,0,1304,0,1937,27,0,0,712,0,1641
6,2731,0,1111,0,0,874,2471,0,326,0,88,0,0,477,202,0,0,1174
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1092
0,4157,0,1964,0,44,0,795,88,0,585,1198,0,0,2435,1399,0,0,2697
2,0,4533,379,792,3056,0,0,5102,0,243,2447,0,0,1244,0,0,0,2924
4,20,1395,0,977,0,503,30,559,0,872,0,991,0,294,0,100,0,1885
6,3514,0,1574,178,0,1329,2174,0,75,0,0,281,0,1150,143,0,0,1985
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,751
0,2475,0,1920,0,511,0,378,232,0,734,1717,0,0,2255,1219,0,0,3811
2,0,7926,108,2084,4011,0,0,8336,0,547,1908,0,0,1329,0,160,0,3711
4,0,6065,0,4924,0,1360,0,4512,0,2171,0,3241,0,491,0,1109,0,3146
6,3619,0,1282,80,0,1339,3161,0,193,0,0,447,0,1062,505,0,0,2236
9,301,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,1656
0,3097,0,651,0,0,132,1082,0,0,576,208,154,0,1585,733,0,0,4545
2,0,5660,31,1627,2591,0,0,6016,0,425,1209,0,0,1123,0,0,0,3790
4,21,4963,0,4419,0,2308,253,2180,0,2086,0,3586,0,66,0,770,0,3034
6,4070,0,1805,210,20,1285,3592,0,148,0,0,574,0,722,60,0,0,2871
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,3477
0,2395,0,1147,0,261,0,0,251,0,692,1278,0,0,1998,961,0,0,4921
2,0,4683,132,1199,2262,0,66,4471,0,0,1987,0,0,1358,595,0,0,4634
4,102,4897,0,4915,0,2269,0,2893,0,2407,0,5286,0,598,0,1678,0,4096
6,5803,0,3173,0,0,1456,5180,0,1049,0,705,0,0,1037,985,0,0,4371
9,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,2473
