taskNumber,yaxis,xaxis,zaxis,force
0,43.01,3.07,-256.0,-0.1
0,43.01,3.07,-256.0,-0.1
0,53.25,4.1,-263.17,-0.1
0,53.25,4.1,-263.17,-0.1
0,53.25,4.1,-263.17,-0.1
0,53.25,4.1,-263.17,-0.1
0,53.25,4.1,-263.17,-0.1
0,53.25,4.1,-263.17,-0.1
0,61.44,0.0,-274.43,-0.0
0,61.44,0.0,-274.43,-0.0
0,61.44,0.0,-274.43,-0.0
0,61.44,0.0,-274.43,-0.0
0,61.44,0.0,-274.43,-0.0
0,50.18,25.6,-263.17,-0.1
0,50.18,25.6,-263.17,-0.1
0,50.18,25.6,-263.17,-0.1
0,50.18,25.6,-263.17,-0.1
0,50.18,25.6,-263.17,-0.1
0,50.18,25.6,-263.17,-0.1
0,50.18,24.58,-252.93,-0.1
0,50.18,24.58,-252.93,-0.1
0,50.18,24.58,-252.93,-0.1
0,50.18,24.58,-252.93,-0.1
0,50.18,24.58,-252.93,-0.1
0,88.06,-22.53,-243.71,-0.2
0,88.06,-22.53,-243.71,-0.2
0,88.06,-22.53,-243.71,-0.2
0,88.06,-22.53,-243.71,-0.2
0,88.06,-22.53,-243.71,-0.2
0,88.06,-22.53,-243.71,-0.2
0,102.4,-65.54,-204.8,-0.1
0,102.4,-65.54,-204.8,-0.1
0,102.4,-65.54,-204.8,-0.1
0,102.4,-65.54,-204.8,-0.1
0,102.4,-65.54,-204.8,-0.1
0,132.1,-5.12,-239.62,-0.1
0,132.1,-5.12,-239.62,-0.1
0,132.1,-5.12,-239.62,-0.1
0,132.1,-5.12,-239.62,-0.1
0,132.1,-5.12,-239.62,-0.1
0,132.1,-5.12,-239.62,-0.1
0,139.26,119.81,-206.85,-0.0
0,139.26,119.81,-206.85,-0.0
0,139.26,119.81,-206.85,-0.0
0,139.26,119.81,-206.85,-0.0
0,139.26,119.81,-206.85,-0.0
0,166.91,-5.12,-152.58,3.1
0,166.91,-5.12,-152.58,3.1
0,166.91,-5.12,-152.58,3.1
0,166.91,-5.12,-152.58,3.1
0,166.91,-5.12,-152.58,3.1
0,166.91,-5.12,-152.58,3.1
0,154.62,48.13,-194.56,60.4
0,154.62,48.13,-194.56,60.4
0,154.62,48.13,-194.56,60.4
0,154.62,48.13,-194.56,60.4
0,154.62,48.13,-194.56,60.4
0,159.74,51.2,-207.87,282.5
0,159.74,51.2,-207.87,282.5
0,159.74,51.2,-207.87,282.5
0,159.74,51.2,-207.87,282.5
0,159.74,51.2,-207.87,282.5
0,159.74,51.2,-207.87,282.5
0,142.34,52.22,-222.21,635.6
0,142.34,52.22,-222.21,635.6
0,142.34,52.22,-222.21,635.6
0,142.34,52.22,-222.21,635.6
0,142.34,52.22,-222.21,635.6
0,142.34,52.22,-222.21,635.6
0,143.36,54.27,-218.11,822.6
0,143.36,54.27,-218.11,822.6
0,143.36,54.27,-218.11,822.6
0,143.36,54.27,-218.11,822.6
0,143.36,54.27,-218.11,822.6
0,164.86,60.42,-197.63,645.2
0,164.86,60.42,-197.63,645.2
0,164.86,60.42,-197.63,645.2
0,164.86,60.42,-197.63,645.2
0,164.86,60.42,-197.63,645.2
0,164.86,60.42,-197.63,645.2
0,117.76,52.22,-131.07,176.2
0,117.76,52.22,-131.07,176.2
0,117.76,52.22,-131.07,176.2
0,117.76,52.22,-131.07,176.2
0,117.76,52.22,-131.07,176.2
0,97.28,32.77,-233.47,5.6
0,97.28,32.77,-233.47,5.6
0,97.28,32.77,-233.47,5.6
0,97.28,32.77,-233.47,5.6
0,97.28,32.77,-233.47,5.6
0,97.28,32.77,-233.47,5.6
