taskNumber,yaxis,xaxis,zaxis,force
0,99.33,-67.58,-258.05,0.4
0,99.33,-67.58,-258.05,0.4
0,99.33,-67.58,-258.05,0.4
0,99.33,-67.58,-258.05,0.4
0,82.94,-60.42,-259.07,0.4
0,82.94,-60.42,-259.07,0.4
0,82.94,-60.42,-259.07,0.4
0,82.94,-60.42,-259.07,0.4
0,82.94,-60.42,-259.07,0.4
0,82.94,-60.42,-259.07,0.4
0,84.99,-56.32,-254.98,0.3
0,84.99,-56.32,-254.98,0.3
0,84.99,-56.32,-254.98,0.3
0,84.99,-56.32,-254.98,0.3
0,84.99,-56.32,-254.98,0.3
0,84.99,-56.32,-254.98,0.3
0,99.33,-29.7,-236.54,0.4
0,99.33,-29.7,-236.54,0.4
0,99.33,-29.7,-236.54,0.4
0,99.33,-29.7,-236.54,0.4
0,99.33,-29.7,-236.54,0.4
0,118.78,-51.2,-215.04,0.4
0,118.78,-51.2,-215.04,0.4
0,118.78,-51.2,-215.04,0.4
0,118.78,-51.2,-215.04,0.4
0,118.78,-51.2,-215.04,0.4
0,118.78,-51.2,-215.04,0.4
0,164.86,-57.34,-235.52,0.3
0,164.86,-57.34,-235.52,0.3
0,164.86,-57.34,-235.52,0.3
0,164.86,-57.34,-235.52,0.3
0,164.86,-57.34,-235.52,0.3
0,171.01,-29.7,-211.97,0.3
0,171.01,-29.7,-211.97,0.3
0,171.01,-29.7,-211.97,0.3
0,171.01,-29.7,-211.97,0.3
0,171.01,-29.7,-211.97,0.3
0,171.01,-29.7,-211.97,0.3
0,186.37,-50.18,-202.75,0.3
0,186.37,-50.18,-202.75,0.3
0,186.37,-50.18,-202.75,0.3
0,186.37,-50.18,-202.75,0.3
0,186.37,-50.18,-202.75,0.3
0,186.37,-50.18,-202.75,0.3
0,180.22,-36.86,-191.49,0.4
0,180.22,-36.86,-191.49,0.4
0,180.22,-36.86,-191.49,0.4
0,180.22,-36.86,-191.49,0.4
0,180.22,-36.86,-191.49,0.4
0,190.46,-59.39,-190.46,0.4
0,190.46,-59.39,-190.46,0.4
0,190.46,-59.39,-190.46,0.4
0,190.46,-59.39,-190.46,0.4
0,190.46,-59.39,-190.46,0.4
0,190.46,-59.39,-190.46,0.4
0,181.25,-29.7,-181.25,0.8
0,181.25,-29.7,-181.25,0.8
0,181.25,-29.7,-181.25,0.8
0,181.25,-29.7,-181.25,0.8
0,181.25,-29.7,-181.25,0.8
0,190.46,-16.38,-169.98,16.4
0,190.46,-16.38,-169.98,16.4
0,190.46,-16.38,-169.98,16.4
0,190.46,-16.38,-169.98,16.4
0,190.46,-16.38,-169.98,16.4
0,190.46,-16.38,-169.98,16.4
0,189.44,-28.67,-175.1,85.4
0,189.44,-28.67,-175.1,85.4
0,189.44,-28.67,-175.1,85.4
0,189.44,-28.67,-175.1,85.4
0,189.44,-28.67,-175.1,85.4
0,189.44,-26.62,-182.27,183.4
0,189.44,-26.62,-182.27,183.4
0,189.44,-26.62,-182.27,183.4
0,189.44,-26.62,-182.27,183.4
0,189.44,-26.62,-182.27,183.4
0,189.44,-26.62,-182.27,183.4
0,189.44,-31.74,-165.89,255.8
0,189.44,-31.74,-165.89,255.8
0,189.44,-31.74,-165.89,255.8
0,189.44,-31.74,-165.89,255.8
0,189.44,-31.74,-165.89,255.8
0,191.49,-35.84,-169.98,287.7
0,191.49,-35.84,-169.98,287.7
0,191.49,-35.84,-169.98,287.7
0,191.49,-35.84,-169.98,287.7
0,191.49,-35.84,-169.98,287.7
0,191.49,-35.84,-169.98,287.7
0,193.54,-34.82,-160.77,305.8
0,193.54,-34.82,-160.77,305.8
0,193.54,-34.82,-160.77,305.8
0,193.54,-34.82,-160.77,305.8
0,193.54,-34.82,-160.77,305.8
0,186.37,-36.86,-164.86,309.6
0,186.37,-36.86,-164.86,309.6
0,186.37,-36.86,-164.86,309.6
0,186.37,-36.86,-164.86,309.6
0,186.37,-36.86,-164.86,309.6
0,186.37,-36.86,-164.86,309.6
0,194.56,-32.77,-159.74,290.7
0,194.56,-32.77,-159.74,290.7
0,194.56,-32.77,-159.74,290.7
0,194.56,-32.77,-159.74,290.7
0,194.56,-32.77,-159.74,290.7
0,196.61,-33.79,-164.86,260.8
0,196.61,-33.79,-164.86,260.8
0,196.61,-33.79,-164.86,260.8
0,196.61,-33.79,-164.86,260.8
0,196.61,-33.79,-164.86,260.8
0,196.61,-33.79,-164.86,260.8
0,190.46,-31.74,-149.5,147.1
0,190.46,-31.74,-149.5,147.1
0,190.46,-31.74,-149.5,147.1
0,190.46,-31.74,-149.5,147.1
0,190.46,-31.74,-149.5,147.1
0,190.46,-31.74,-149.5,147.1
0,186.37,-36.86,-218.11,23.2
0,186.37,-36.86,-218.11,23.2
0,186.37,-36.86,-218.11,23.2
0,186.37,-36.86,-218.11,23.2
0,186.37,-36.86,-218.11,23.2
0,152.58,-30.72,-198.66,0.6
0,152.58,-30.72,-198.66,0.6
0,152.58,-30.72,-198.66,0.6
0,152.58,-30.72,-198.66,0.6
0,152.58,-30.72,-198.66,0.6
0,152.58,-30.72,-198.66,0.6
0,125.95,-21.5,-214.02,0.4
0,125.95,-21.5,-214.02,0.4
0,125.95,-21.5,-214.02,0.4
1,142.34,-83.97,-204.8,0.3
1,142.34,-83.97,-204.8,0.3
1,142.34,-83.97,-204.8,0.3
1,142.34,-83.97,-204.8,0.3
1,146.43,-74.75,-204.8,0.3
1,146.43,-74.75,-204.8,0.3
1,146.43,-74.75,-204.8,0.3
1,146.43,-74.75,-204.8,0.3
1,146.43,-74.75,-204.8,0.3
1,134.14,-84.99,-196.61,0.3
1,134.14,-84.99,-196.61,0.3
1,134.14,-84.99,-196.61,0.3
1,134.14,-84.99,-196.61,0.3
1,134.14,-84.99,-196.61,0.3
1,134.14,-84.99,-196.61,0.3
1,132.1,-78.85,-198.66,0.2
1,132.1,-78.85,-198.66,0.2
1,132.1,-78.85,-198.66,0.2
1,132.1,-78.85,-198.66,0.2
1,132.1,-78.85,-198.66,0.2
1,132.1,-78.85,-198.66,0.2
1,130.05,-84.99,-205.82,0.3
1,130.05,-84.99,-205.82,0.3
1,130.05,-84.99,-205.82,0.3
1,130.05,-84.99,-205.82,0.3
1,130.05,-84.99,-205.82,0.3
1,130.05,-72.7,-172.03,0.3
1,130.05,-72.7,-172.03,0.3
1,130.05,-72.7,-172.03,0.3
1,130.05,-72.7,-172.03,0.3
1,130.05,-72.7,-172.03,0.3
1,130.05,-72.7,-172.03,0.3
1,176.13,-61.44,-207.87,0.3
1,176.13,-61.44,-207.87,0.3
1,176.13,-61.44,-207.87,0.3
1,176.13,-61.44,-207.87,0.3
1,176.13,-61.44,-207.87,0.3
1,203.78,-71.68,-222.21,0.2
1,203.78,-71.68,-222.21,0.2
1,203.78,-71.68,-222.21,0.2
1,203.78,-71.68,-222.21,0.2
1,203.78,-71.68,-222.21,0.2
1,203.78,-71.68,-222.21,0.2
1,190.46,-44.03,-196.61,0.2
1,190.46,-44.03,-196.61,0.2
1,190.46,-44.03,-196.61,0.2
1,190.46,-44.03,-196.61,0.2
1,190.46,-44.03,-196.61,0.2
1,190.46,-44.03,-196.61,0.2
1,171.01,-30.72,-181.25,0.3
1,171.01,-30.72,-181.25,0.3
1,171.01,-30.72,-181.25,0.3
1,171.01,-30.72,-181.25,0.3
1,171.01,-30.72,-181.25,0.3
1,179.2,-26.62,-178.18,0.9
1,179.2,-26.62,-178.18,0.9
1,179.2,-26.62,-178.18,0.9
1,179.2,-26.62,-178.18,0.9
1,179.2,-26.62,-178.18,0.9
1,179.2,-26.62,-178.18,0.9
1,187.39,-56.32,-178.18,18.1
1,187.39,-56.32,-178.18,18.1
1,187.39,-56.32,-178.18,18.1
1,187.39,-56.32,-178.18,18.1
1,187.39,-56.32,-178.18,18.1
1,188.42,-22.53,-168.96,83.1
1,188.42,-22.53,-168.96,83.1
1,188.42,-22.53,-168.96,83.1
1,188.42,-22.53,-168.96,83.1
1,188.42,-22.53,-168.96,83.1
1,188.42,-22.53,-168.96,83.1
1,187.39,-21.5,-182.27,180.3
1,187.39,-21.5,-182.27,180.3
1,187.39,-21.5,-182.27,180.3
1,187.39,-21.5,-182.27,180.3
1,187.39,-21.5,-182.27,180.3
1,193.54,-20.48,-164.86,250.3
1,193.54,-20.48,-164.86,250.3
1,193.54,-20.48,-164.86,250.3
1,193.54,-20.48,-164.86,250.3
1,193.54,-20.48,-164.86,250.3
1,193.54,-20.48,-164.86,250.3
1,192.51,-23.55,-158.72,259.6
1,192.51,-23.55,-158.72,259.6
1,192.51,-23.55,-158.72,259.6
1,192.51,-23.55,-158.72,259.6
1,192.51,-23.55,-158.72,259.6
1,193.54,-23.55,-168.96,249.3
1,193.54,-23.55,-168.96,249.3
1,193.54,-23.55,-168.96,249.3
1,193.54,-23.55,-168.96,249.3
1,193.54,-23.55,-168.96,249.3
1,193.54,-23.55,-168.96,249.3
1,192.51,-20.48,-175.1,203.6
1,192.51,-20.48,-175.1,203.6
1,192.51,-20.48,-175.1,203.6
1,192.51,-20.48,-175.1,203.6
1,192.51,-20.48,-175.1,203.6
1,189.44,-40.96,-207.87,79.8
1,189.44,-40.96,-207.87,79.8
1,189.44,-40.96,-207.87,79.8
1,189.44,-40.96,-207.87,79.8
1,189.44,-40.96,-207.87,79.8
1,189.44,-40.96,-207.87,79.8
1,126.98,-34.82,-175.1,6.1
1,126.98,-34.82,-175.1,6.1
1,126.98,-34.82,-175.1,6.1
1,126.98,-34.82,-175.1,6.1
1,126.98,-34.82,-175.1,6.1
1,126.98,-34.82,-175.1,6.1
1,147.46,-25.6,-189.44,0.3
1,147.46,-25.6,-189.44,0.3
1,147.46,-25.6,-189.44,0.3
1,147.46,-25.6,-189.44,0.3
1,147.46,-25.6,-189.44,0.3
1,159.74,-33.79,-228.35,0.3
1,159.74,-33.79,-228.35,0.3
1,159.74,-33.79,-228.35,0.3
2,106.5,-73.73,-190.46,0.4
2,106.5,-73.73,-190.46,0.4
2,135.17,-64.51,-218.11,0.5
2,135.17,-64.51,-218.11,0.5
2,135.17,-64.51,-218.11,0.5
2,135.17,-64.51,-218.11,0.5
2,135.17,-64.51,-218.11,0.5
2,135.17,-64.51,-218.11,0.5
2,135.17,-65.54,-216.06,0.4
2,135.17,-65.54,-216.06,0.4
2,135.17,-65.54,-216.06,0.4
2,135.17,-65.54,-216.06,0.4
2,135.17,-65.54,-216.06,0.4
2,125.95,-80.9,-205.82,0.3
2,125.95,-80.9,-205.82,0.3
2,125.95,-80.9,-205.82,0.3
2,125.95,-80.9,-205.82,0.3
2,125.95,-80.9,-205.82,0.3
2,125.95,-80.9,-205.82,0.3
2,133.12,-66.56,-212.99,0.4
2,133.12,-66.56,-212.99,0.4
2,133.12,-66.56,-212.99,0.4
2,133.12,-66.56,-212.99,0.4
2,133.12,-66.56,-212.99,0.4
2,124.93,-47.1,-209.92,0.5
2,124.93,-47.1,-209.92,0.5
2,124.93,-47.1,-209.92,0.5
2,124.93,-47.1,-209.92,0.5
2,124.93,-47.1,-209.92,0.5
2,124.93,-47.1,-209.92,0.5
2,140.29,-72.7,-192.51,0.5
2,140.29,-72.7,-192.51,0.5
2,140.29,-72.7,-192.51,0.5
2,140.29,-72.7,-192.51,0.5
2,140.29,-72.7,-192.51,0.5
2,138.24,-62.46,-178.18,0.5
2,138.24,-62.46,-178.18,0.5
2,138.24,-62.46,-178.18,0.5
2,138.24,-62.46,-178.18,0.5
2,138.24,-62.46,-178.18,0.5
2,138.24,-62.46,-178.18,0.5
2,192.51,-48.13,-204.8,0.5
2,192.51,-48.13,-204.8,0.5
2,192.51,-48.13,-204.8,0.5
2,192.51,-48.13,-204.8,0.5
2,192.51,-48.13,-204.8,0.5
2,177.15,-52.22,-186.37,0.4
2,177.15,-52.22,-186.37,0.4
2,177.15,-52.22,-186.37,0.4
2,177.15,-52.22,-186.37,0.4
2,177.15,-52.22,-186.37,0.4
2,177.15,-52.22,-186.37,0.4
2,198.66,-59.39,-193.54,0.3
2,198.66,-59.39,-193.54,0.3
2,198.66,-59.39,-193.54,0.3
2,198.66,-59.39,-193.54,0.3
2,198.66,-59.39,-193.54,0.3
2,198.66,-59.39,-193.54,0.3
2,172.03,-55.3,-166.91,0.4
2,172.03,-55.3,-166.91,0.4
2,172.03,-55.3,-166.91,0.4
2,172.03,-55.3,-166.91,0.4
2,172.03,-55.3,-166.91,0.4
2,203.78,-47.1,-168.96,6.4
2,203.78,-47.1,-168.96,6.4
2,203.78,-47.1,-168.96,6.4
2,203.78,-47.1,-168.96,6.4
2,203.78,-47.1,-168.96,6.4
2,203.78,-47.1,-168.96,6.4
2,185.34,-38.91,-175.1,52.0
2,185.34,-38.91,-175.1,52.0
2,185.34,-38.91,-175.1,52.0
2,185.34,-38.91,-175.1,52.0
2,185.34,-38.91,-175.1,52.0
2,194.56,-39.94,-176.13,141.4
2,194.56,-39.94,-176.13,141.4
2,194.56,-39.94,-176.13,141.4
2,194.56,-39.94,-176.13,141.4
2,194.56,-39.94,-176.13,141.4
2,194.56,-39.94,-176.13,141.4
2,194.56,-37.89,-161.79,233.1
2,194.56,-37.89,-161.79,233.1
2,194.56,-37.89,-161.79,233.1
2,194.56,-37.89,-161.79,233.1
2,194.56,-37.89,-161.79,233.1
2,193.54,-45.06,-147.46,285.5
2,193.54,-45.06,-147.46,285.5
2,193.54,-45.06,-147.46,285.5
2,193.54,-45.06,-147.46,285.5
2,193.54,-45.06,-147.46,285.5
2,193.54,-45.06,-147.46,285.5
2,196.61,-41.98,-152.58,278.7
2,196.61,-41.98,-152.58,278.7
2,196.61,-41.98,-152.58,278.7
2,196.61,-41.98,-152.58,278.7
2,196.61,-41.98,-152.58,278.7
2,200.7,-39.94,-159.74,212.6
2,200.7,-39.94,-159.74,212.6
2,200.7,-39.94,-159.74,212.6
2,200.7,-39.94,-159.74,212.6
2,200.7,-39.94,-159.74,212.6
2,200.7,-39.94,-159.74,212.6
2,180.22,-46.08,-156.67,78.4
2,180.22,-46.08,-156.67,78.4
2,180.22,-46.08,-156.67,78.4
2,180.22,-46.08,-156.67,78.4
