taskNumber,yaxis,xaxis,zaxis,force,SG0,SG_E0,SG_D0,SG1,SG_E1,SG_D1,SG2,SG_E2,SG_D2,SG3,SG_E3,SG_D3,SG4,SG_E4,SG_D4,SG5,SG_E5,SG_D5,SG6,SG_E6,SG_D6,SG7,SG_E7,SG_D7,SG8,SG_E8,SG_D8
0,218.11,29.7,-120.83,309.7,47.0,0.0762987,-569.0,535.0,0.8118361,-124.0,441.0,0.96498907,-16.0,0.0,0.0,-427.0,585.0,0.82978725,-120.0,718.0,1.0945122,62.0,0.0,0.0,-641.0,722.0,1.1442156,91.0,677.0,1.3196881,164.0
0,218.11,29.7,-120.83,309.7,45.0,0.073051944,-571.0,533.0,0.80880123,-126.0,438.0,0.9584245,-19.0,0.0,0.0,-427.0,585.0,0.82978725,-120.0,713.0,1.0868902,57.0,27.0,0.042121686,-614.0,722.0,1.1442156,91.0,672.0,1.3099415,159.0
0,218.11,29.7,-120.83,309.7,45.0,0.073051944,-571.0,533.0,0.80880123,-126.0,434.0,0.94967175,-23.0,0.0,0.0,-427.0,585.0,0.82978725,-120.0,711.0,1.0838414,55.0,36.0,0.056162246,-605.0,722.0,1.1442156,91.0,669.0,1.3040936,156.0
0,221.18,21.5,-116.74,303.0,179.0,0.29058442,-437.0,560.0,0.8497724,-99.0,417.0,0.91247267,-40.0,0.0,0.0,-427.0,599.0,0.8496454,-106.0,721.0,1.0990853,65.0,95.0,0.14820592,-546.0,744.0,1.1790808,113.0,695.0,1.3547758,182.0
0,221.18,21.5,-116.74,303.0,179.0,0.29058442,-437.0,560.0,0.8497724,-99.0,412.0,0.90153176,-45.0,0.0,0.0,-427.0,599.0,0.8496454,-106.0,721.0,1.0990853,65.0,92.0,0.14352573,-549.0,744.0,1.1790808,113.0,691.0,1.3469785,178.0
0,220.16,21.5,-113.66,305.2,179.0,0.29058442,-437.0,557.0,0.84522,-102.0,412.0,0.90153176,-45.0,0.0,0.0,-427.0,599.0,0.8496454,-106.0,718.0,1.0945122,62.0,91.0,0.14196567,-550.0,743.0,1.1774961,112.0,691.0,1.3469785,178.0
0,220.16,21.5,-113.66,305.2,179.0,0.29058442,-437.0,554.0,0.84066767,-105.0,411.0,0.89934355,-46.0,0.0,0.0,-427.0,599.0,0.8496454,-106.0,712.0,1.0853659,56.0,88.0,0.13728549,-553.0,743.0,1.1774961,112.0,678.0,1.3216374,165.0
0,223.23,25.6,-113.66,309.4,143.0,0.23214285,-473.0,533.0,0.80880123,-126.0,422.0,0.9234136,-35.0,0.0,0.0,-427.0,570.0,0.80851066,-135.0,700.0,1.0670732,44.0,87.0,0.13572542,-554.0,707.0,1.1204437,76.0,750.0,1.4619883,237.0
0,223.23,25.6,-113.66,309.4,143.0,0.23214285,-473.0,533.0,0.80880123,-126.0,422.0,0.9234136,-35.0,0.0,0.0,-427.0,570.0,0.80851066,-135.0,699.0,1.0655488,43.0,87.0,0.13572542,-554.0,707.0,1.1204437,76.0,750.0,1.4619883,237.0
0,222.21,23.55,-114.69,306.3,147.0,0.23863636,-469.0,533.0,0.80880123,-126.0,422.0,0.9234136,-35.0,0.0,0.0,-427.0,571.0,0.8099291,-134.0,699.0,1.0655488,43.0,90.0,0.14040561,-551.0,707.0,1.1204437,76.0,751.0,1.4639376,238.0
0,220.16,21.5,-114.69,307.2,117.0,0.18993506,-499.0,546.0,0.82852805,-113.0,422.0,0.9234136,-35.0,0.0,0.0,-427.0,591.0,0.83829784,-114.0,727.0,1.1082317,71.0,145.0,0.22620904,-496.0,723.0,1.1458004,92.0,792.0,1.5438596,279.0
0,220.16,21.5,-114.69,307.2,120.0,0.19480519,-496.0,546.0,0.82852805,-113.0,423.0,0.9256017,-34.0,0.0,0.0,-427.0,589.0,0.835461,-116.0,728.0,1.1097561,72.0,131.0,0.20436817,-510.0,717.0,1.1362916,86.0,792.0,1.5438596,279.0
0,220.16,21.5,-114.69,307.2,120.0,0.19480519,-496.0,546.0,0.82852805,-113.0,423.0,0.9256017,-34.0,0.0,0.0,-427.0,587.0,0.83262414,-118.0,728.0,1.1097561,72.0,121.0,0.18876755,-520.0,710.0,1.1251981,79.0,792.0,1.5438596,279.0
