taskNumber,yaxis,xaxis,zaxis,force,SG0,SG_E0,SG_D0,SG1,SG_E1,SG_D1,SG2,SG_E2,SG_D2,SG3,SG_E3,SG_D3,SG4,SG_E4,SG_D4,SG5,SG_E5,SG_D5,SG6,SG_E6,SG_D6,SG7,SG_E7,SG_D7,SG8,SG_E8,SG_D8
0,123.9,52.22,-228.35,505.5,617.0,0.9033675,-66.0,436.0,0.6887836,-197.0,229.0,0.43045112,-303.0,438.0,0.74871796,-147.0,386.0,1.5256917,133.0,637.0,0.90870184,-64.0,528.0,0.7810651,-148.0,323.0,0.60828626,-208.0,618.0,0.96411854,-23.0
0,123.9,52.22,-228.35,505.5,613.0,0.897511,-70.0,429.0,0.67772514,-204.0,229.0,0.43045112,-303.0,425.0,0.72649574,-160.0,386.0,1.5256917,133.0,637.0,0.90870184,-64.0,528.0,0.7810651,-148.0,321.0,0.6045198,-210.0,618.0,0.96411854,-23.0
0,125.95,56.32,-229.38,506.4,611.0,0.89458275,-72.0,427.0,0.67456555,-206.0,229.0,0.43045112,-303.0,425.0,0.72649574,-160.0,386.0,1.5256917,133.0,637.0,0.90870184,-64.0,522.0,0.7721894,-154.0,321.0,0.6045198,-210.0,618.0,0.96411854,-23.0
0,125.95,56.32,-229.38,506.4,611.0,0.89458275,-72.0,427.0,0.67456555,-206.0,229.0,0.43045112,-303.0,425.0,0.72649574,-160.0,386.0,1.5256917,133.0,637.0,0.90870184,-64.0,522.0,0.7721894,-154.0,321.0,0.6045198,-210.0,618.0,0.96411854,-23.0
0,125.95,55.3,-227.33,505.6,614.0,0.89897513,-69.0,429.0,0.67772514,-204.0,240.0,0.45112783,-292.0,430.0,0.73504275,-155.0,398.0,1.5731225,145.0,645.0,0.9201141,-56.0,533.0,0.78846157,-143.0,323.0,0.60828626,-208.0,623.0,0.9719189,-18.0
0,124.93,53.25,-228.35,505.6,614.0,0.89897513,-69.0,430.0,0.6793049,-203.0,237.0,0.44548872,-295.0,428.0,0.73162395,-157.0,393.0,1.5533596,140.0,646.0,0.9215407,-55.0,533.0,0.78846157,-143.0,323.0,0.60828626,-208.0,624.0,0.9734789,-17.0
0,124.93,53.25,-228.35,505.6,611.0,0.89458275,-72.0,430.0,0.6793049,-203.0,237.0,0.44548872,-295.0,425.0,0.72649574,-160.0,390.0,1.541502,137.0,643.0,0.91726106,-58.0,533.0,0.78846157,-143.0,323.0,0.60828626,-208.0,624.0,0.9734789,-17.0
0,124.93,53.25,-228.35,505.6,611.0,0.89458275,-72.0,430.0,0.6793049,-203.0,237.0,0.44548872,-295.0,425.0,0.72649574,-160.0,390.0,1.541502,137.0,643.0,0.91726106,-58.0,531.0,0.785503,-145.0,323.0,0.60828626,-208.0,621.0,0.96879876,-20.0
0,123.9,55.3,-226.3,507.2,608.0,0.89019036,-75.0,428.0,0.6761453,-205.0,239.0,0.44924814,-293.0,427.0,0.72991455,-158.0,388.0,1.5335969,135.0,644.0,0.9186876,-57.0,525.0,0.77662724,-151.0,325.0,0.61205274,-206.0,618.0,0.96411854,-23.0
0,123.9,55.3,-226.3,507.2,608.0,0.89019036,-75.0,428.0,0.6761453,-205.0,239.0,0.44924814,-293.0,427.0,0.72991455,-158.0,388.0,1.5335969,135.0,644.0,0.9186876,-57.0,525.0,0.77662724,-151.0,325.0,0.61205274,-206.0,618.0,0.96411854,-23.0
0,124.93,55.3,-225.28,507.6,607.0,0.88872623,-76.0,428.0,0.6761453,-205.0,239.0,0.44924814,-293.0,427.0,0.72991455,-158.0,387.0,1.5296443,134.0,644.0,0.9186876,-57.0,525.0,0.77662724,-151.0,324.0,0.6101695,-207.0,618.0,0.96411854,-23.0
0,124.93,55.3,-225.28,507.6,607.0,0.88872623,-76.0,428.0,0.6761453,-205.0,239.0,0.44924814,-293.0,427.0,0.72991455,-158.0,387.0,1.5296443,134.0,644.0,0.9186876,-57.0,526.0,0.7781065,-150.0,325.0,0.61205274,-206.0,618.0,0.96411854,-23.0
0,123.9,53.25,-228.35,508.2,607.0,0.88872623,-76.0,428.0,0.6761453,-205.0,242.0,0.4548872,-290.0,429.0,0.73333335,-156.0,387.0,1.5296443,134.0,644.0,0.9186876,-57.0,526.0,0.7781065,-150.0,325.0,0.61205274,-206.0,618.0,0.96411854,-23.0
0,123.9,53.25,-228.35,508.2,607.0,0.88872623,-76.0,428.0,0.6761453,-205.0,243.0,0.4567669,-289.0,429.0,0.73333335,-156.0,388.0,1.5335969,135.0,644.0,0.9186876,-57.0,526.0,0.7781065,-150.0,328.0,0.6177024,-203.0,618.0,0.96411854,-23.0
0,123.9,53.25,-225.28,507.2,607.0,0.88872623,-76.0,428.0,0.6761453,-205.0,247.0,0.4642857,-285.0,433.0,0.74017096,-152.0,388.0,1.5335969,135.0,645.0,0.9201141,-56.0,526.0,0.7781065,-150.0,328.0,0.6177024,-203.0,618.0,0.96411854,-23.0
0,123.9,53.25,-225.28,507.2,604.0,0.88433385,-79.0,426.0,0.6729858,-207.0,248.0,0.46616542,-284.0,432.0,0.73846155,-153.0,388.0,1.5335969,135.0,646.0,0.9215407,-55.0,526.0,0.7781065,-150.0,328.0,0.6177024,-203.0,619.0,0.96567863,-22.0
0,89.09,47.1,-250.88,513.4,716.0,1.0483162,33.0,644.0,1.0173776,11.0,175.0,0.32894737,-357.0,505.0,0.8632479,-80.0,111.0,0.4387352,-142.0,617.0,0.8801712,-84.0,870.0,1.2869823,194.0,310.0,0.58380413,-221.0,725.0,1.1310452,84.0
0,89.09,47.1,-250.88,513.4,716.0,1.0483162,33.0,646.0,1.0205371,13.0,175.0,0.32894737,-357.0,509.0,0.8700855,-76.0,111.0,0.4387352,-142.0,617.0,0.8801712,-84.0,874.0,1.2928994,198.0,310.0,0.58380413,-221.0,725.0,1.1310452,84.0
