roll,yaw,pitch,yaxis,xaxis,zaxis,force,SG0,SG_E0,SG_D0,SG1,SG_E1,SG_D1,SG2,SG_E2,SG_D2,SG3,SG_E3,SG_D3,SG4,SG_E4,SG_D4,SG5,SG_E5,SG_D5,SG6,SG_E6,SG_D6,SG7,SG_E7,SG_D7,SG8,SG_E8,SG_D8
142.1,134.39,-14.6,68.61,160.77,-207.87,40.0,517.0,0.7869102,-140.0,690.0,1.0832025,53.0,632.0,0.97681606,-15.0,482.0,0.9128788,-46.0,670.0,0.9911243,-6.0,742.0,1.1124438,75.0,740.0,1.080292,55.0,607.0,0.90193164,-66.0,647.0,0.9938556,-4.0
142.1,134.39,-14.6,68.61,160.77,-207.87,40.0,517.0,0.7869102,-140.0,690.0,1.0832025,53.0,632.0,0.97681606,-15.0,482.0,0.9128788,-46.0,670.0,0.9911243,-6.0,739.0,1.107946,72.0,740.0,1.080292,55.0,607.0,0.90193164,-66.0,647.0,0.9938556,-4.0
142.83,133.77,-14.95,70.66,155.65,-208.9,43.8,517.0,0.7869102,-140.0,686.0,1.0769231,49.0,630.0,0.9737249,-17.0,477.0,0.90340906,-51.0,672.0,0.99408287,-4.0,737.0,1.1049476,70.0,739.0,1.0788321,54.0,608.0,0.9034175,-65.0,646.0,0.9923195,-5.0
142.83,133.77,-14.95,70.66,155.65,-208.9,43.8,519.0,0.78995436,-138.0,686.0,1.0769231,49.0,630.0,0.9737249,-17.0,477.0,0.90340906,-51.0,672.0,0.99408287,-4.0,737.0,1.1049476,70.0,739.0,1.0788321,54.0,608.0,0.9034175,-65.0,646.0,0.9923195,-5.0
143.28,133.61,-14.94,66.56,159.74,-209.92,39.1,519.0,0.78995436,-138.0,686.0,1.0769231,49.0,630.0,0.9737249,-17.0,477.0,0.90340906,-51.0,672.0,0.99408287,-4.0,737.0,1.1049476,70.0,739.0,1.0788321,54.0,608.0,0.9034175,-65.0,646.0,0.9923195,-5.0
143.28,133.61,-14.94,66.56,159.74,-209.92,39.1,521.0,0.7929985,-136.0,690.0,1.0832025,53.0,630.0,0.9737249,-17.0,481.0,0.9109849,-47.0,672.0,0.99408287,-4.0,736.0,1.1034483,69.0,740.0,1.080292,55.0,604.0,0.897474,-69.0,642.0,0.9861751,-9.0
142.89,133.89,-14.76,70.66,156.67,-205.82,45.1,521.0,0.7929985,-136.0,689.0,1.0816326,52.0,630.0,0.9737249,-17.0,481.0,0.9109849,-47.0,671.0,0.99260354,-5.0,732.0,1.0974513,65.0,738.0,1.0773723,53.0,604.0,0.897474,-69.0,640.0,0.9831029,-11.0
142.89,133.89,-14.76,70.66,156.67,-205.82,45.1,521.0,0.7929985,-136.0,689.0,1.0816326,52.0,630.0,0.9737249,-17.0,481.0,0.9109849,-47.0,670.0,0.9911243,-6.0,732.0,1.0974513,65.0,738.0,1.0773723,53.0,604.0,0.897474,-69.0,640.0,0.9831029,-11.0
142.6,133.77,-15.09,65.54,160.77,-209.92,44.6,527.0,0.8021309,-130.0,689.0,1.0816326,52.0,630.0,0.9737249,-17.0,481.0,0.9109849,-47.0,668.0,0.9881657,-8.0,731.0,1.095952,64.0,738.0,1.0773723,53.0,604.0,0.897474,-69.0,639.0,0.98156685,-12.0
142.6,133.77,-15.09,65.54,160.77,-209.92,44.6,527.0,0.8021309,-130.0,689.0,1.0816326,52.0,630.0,0.9737249,-17.0,481.0,0.9109849,-47.0,670.0,0.9911243,-6.0,731.0,1.095952,64.0,738.0,1.0773723,53.0,604.0,0.897474,-69.0,640.0,0.9831029,-11.0
142.88,133.34,-15.16,70.66,153.6,-209.92,41.6,527.0,0.8021309,-130.0,690.0,1.0832025,53.0,631.0,0.97527045,-16.0,481.0,0.9109849,-47.0,670.0,0.9911243,-6.0,731.0,1.095952,64.0,739.0,1.0788321,54.0,604.0,0.897474,-69.0,640.0,0.9831029,-11.0
142.88,133.34,-15.16,70.66,153.6,-209.92,41.6,527.0,0.8021309,-130.0,690.0,1.0832025,53.0,632.0,0.97681606,-15.0,481.0,0.9109849,-47.0,671.0,0.99260354,-5.0,731.0,1.095952,64.0,739.0,1.0788321,54.0,606.0,0.90044576,-67.0,640.0,0.9831029,-11.0
143.4,133.32,-15.98,69.63,159.74,-208.9,36.0,527.0,0.8021309,-130.0,686.0,1.0769231,49.0,631.0,0.97527045,-16.0,470.0,0.8901515,-58.0,666.0,0.9852071,-10.0,728.0,1.0914543,61.0,737.0,1.0759124,52.0,602.0,0.8945022,-71.0,639.0,0.98156685,-12.0
143.4,133.32,-15.98,69.63,159.74,-208.9,36.0,527.0,0.8021309,-130.0,689.0,1.0816326,52.0,631.0,0.97527045,-16.0,475.0,0.8996212,-53.0,666.0,0.9852071,-10.0,729.0,1.0929536,62.0,737.0,1.0759124,52.0,602.0,0.8945022,-71.0,639.0,0.98156685,-12.0
142.71,133.48,-15.16,70.66,157.7,-208.9,37.7,541.0,0.8234399,-116.0,693.0,1.0879121,56.0,632.0,0.97681606,-15.0,479.0,0.907197,-49.0,666.0,0.9852071,-10.0,730.0,1.0944527,63.0,738.0,1.0773723,53.0,602.0,0.8945022,-71.0,639.0,0.98156685,-12.0
142.71,133.48,-15.16,70.66,157.7,-208.9,37.7,530.0,0.80669713,-127.0,690.0,1.0832025,53.0,630.0,0.9737249,-17.0,478.0,0.905303,-50.0,664.0,0.98224854,-12.0,729.0,1.0929536,62.0,737.0,1.0759124,52.0,604.0,0.897474,-69.0,640.0,0.9831029,-11.0
142.85,133.04,-15.11,67.58,158.72,-207.87,42.9,527.0,0.8021309,-130.0,689.0,1.0816326,52.0,630.0,0.9737249,-17.0,475.0,0.8996212,-53.0,664.0,0.98224854,-12.0,728.0,1.0914543,61.0,736.0,1.0744525,51.0,602.0,0.8945022,-71.0,640.0,0.9831029,-11.0
