roll,yaw,pitch,yaxis,xaxis,zaxis,force,SG0,SG_E0,SG_D0,SG1,SG_E1,SG_D1,SG2,SG_E2,SG_D2,SG3,SG_E3,SG_D3,SG4,SG_E4,SG_D4,SG5,SG_E5,SG_D5,SG6,SG_E6,SG_D6,SG7,SG_E7,SG_D7,SG8,SG_E8,SG_D8
-142.47,131.13,-37.34,156.67,-122.88,-164.86,159.3,293.0,0.5425926,-247.0,603.0,0.9694534,-19.0,1013.0,1.7316239,428.0,543.0,0.7757143,-157.0,629.0,0.91959065,-55.0,890.0,1.776447,389.0,790.0,1.3036304,184.0,589.0,0.97516555,-15.0,839.0,1.6646825,335.0
-142.47,131.13,-37.34,156.67,-122.88,-164.86,159.3,293.0,0.5425926,-247.0,603.0,0.9694534,-19.0,1013.0,1.7316239,428.0,543.0,0.7757143,-157.0,629.0,0.91959065,-55.0,890.0,1.776447,389.0,789.0,1.3019803,183.0,589.0,0.97516555,-15.0,839.0,1.6646825,335.0
-143.08,131.54,-37.29,155.65,-122.88,-160.77,163.6,294.0,0.54444444,-246.0,603.0,0.9694534,-19.0,1013.0,1.7316239,428.0,545.0,0.7785714,-155.0,629.0,0.91959065,-55.0,890.0,1.776447,389.0,790.0,1.3036304,184.0,589.0,0.97516555,-15.0,840.0,1.6666666,336.0
-143.08,131.54,-37.29,155.65,-122.88,-160.77,163.6,294.0,0.54444444,-246.0,603.0,0.9694534,-19.0,1013.0,1.7316239,428.0,547.0,0.7814286,-153.0,630.0,0.92105263,-54.0,890.0,1.776447,389.0,790.0,1.3036304,184.0,589.0,0.97516555,-15.0,841.0,1.6686507,337.0
-142.99,131.3,-37.37,156.67,-124.93,-164.86,164.7,294.0,0.54444444,-246.0,603.0,0.9694534,-19.0,1013.0,1.7316239,428.0,549.0,0.7842857,-151.0,630.0,0.92105263,-54.0,890.0,1.776447,389.0,790.0,1.3036304,184.0,590.0,0.9768212,-14.0,842.0,1.6706349,338.0
-142.99,131.3,-37.37,156.67,-124.93,-164.86,164.7,294.0,0.54444444,-246.0,603.0,0.9694534,-19.0,1013.0,1.7316239,428.0,549.0,0.7842857,-151.0,630.0,0.92105263,-54.0,890.0,1.776447,389.0,790.0,1.3036304,184.0,590.0,0.9768212,-14.0,843.0,1.6726191,339.0
-143.08,131.29,-37.2,155.65,-125.95,-164.86,167.9,292.0,0.5407407,-248.0,598.0,0.9614148,-24.0,1013.0,1.7316239,428.0,549.0,0.7842857,-151.0,631.0,0.9225146,-53.0,889.0,1.7744511,388.0,790.0,1.3036304,184.0,590.0,0.9768212,-14.0,842.0,1.6706349,338.0
-143.08,131.29,-37.2,155.65,-125.95,-164.86,167.9,291.0,0.5388889,-249.0,596.0,0.9581994,-26.0,1013.0,1.7316239,428.0,549.0,0.7842857,-151.0,631.0,0.9225146,-53.0,889.0,1.7744511,388.0,790.0,1.3036304,184.0,590.0,0.9768212,-14.0,840.0,1.6666666,336.0
-142.54,131.09,-37.33,156.67,-121.86,-165.89,163.0,289.0,0.53518516,-251.0,593.0,0.95337623,-29.0,1013.0,1.7316239,428.0,549.0,0.7842857,-151.0,629.0,0.91959065,-55.0,886.0,1.768463,385.0,790.0,1.3036304,184.0,589.0,0.97516555,-15.0,840.0,1.6666666,336.0
-142.54,131.09,-37.33,156.67,-121.86,-165.89,163.0,289.0,0.53518516,-251.0,593.0,0.95337623,-29.0,1013.0,1.7316239,428.0,549.0,0.7842857,-151.0,629.0,0.91959065,-55.0,887.0,1.770459,386.0,790.0,1.3036304,184.0,590.0,0.9768212,-14.0,840.0,1.6666666,336.0
-142.87,131.25,-37.26,155.65,-121.86,-161.79,160.1,289.0,0.53518516,-251.0,593.0,0.95337623,-29.0,1013.0,1.7316239,428.0,553.0,0.79,-147.0,629.0,0.91959065,-55.0,887.0,1.770459,386.0,790.0,1.3036304,184.0,590.0,0.9768212,-14.0,842.0,1.6706349,338.0
-142.87,131.25,-37.26,155.65,-121.86,-161.79,160.1,289.0,0.53518516,-251.0,593.0,0.95337623,-29.0,1013.0,1.7316239,428.0,554.0,0.79142857,-146.0,629.0,0.91959065,-55.0,887.0,1.770459,386.0,790.0,1.3036304,184.0,590.0,0.9768212,-14.0,842.0,1.6706349,338.0
-142.98,131.29,-37.38,155.65,-122.88,-160.77,160.3,289.0,0.53518516,-251.0,593.0,0.95337623,-29.0,1013.0,1.7316239,428.0,554.0,0.79142857,-146.0,629.0,0.91959065,-55.0,887.0,1.770459,386.0,790.0,1.3036304,184.0,590.0,0.9768212,-14.0,843.0,1.6726191,339.0
-142.98,131.29,-37.38,155.65,-122.88,-160.77,160.3,284.0,0.52592593,-256.0,586.0,0.94212216,-36.0,1013.0,1.7316239,428.0,555.0,0.79285717,-145.0,627.0,0.9166667,-57.0,886.0,1.768463,385.0,786.0,1.2970297,180.0,591.0,0.9784768,-13.0,844.0,1.6746032,340.0
-142.71,131.17,-37.42,155.65,-122.88,-162.82,162.5,280.0,0.5185185,-260.0,580.0,0.93247586,-42.0,1013.0,1.7316239,428.0,555.0,0.79285717,-145.0,627.0,0.9166667,-57.0,885.0,1.7664671,384.0,786.0,1.2970297,180.0,591.0,0.9784768,-13.0,842.0,1.6706349,338.0
-142.71,131.17,-37.42,155.65,-122.88,-162.82,162.5,272.0,0.5037037,-268.0,573.0,0.92122185,-49.0,1013.0,1.7316239,428.0,555.0,0.79285717,-145.0,627.0,0.9166667,-57.0,883.0,1.762475,382.0,786.0,1.2970297,180.0,591.0,0.9784768,-13.0,842.0,1.6706349,338.0
-143.05,131.59,-37.28,153.6,-122.88,-160.77,165.8,272.0,0.5037037,-268.0,573.0,0.92122185,-49.0,1013.0,1.7316239,428.0,555.0,0.79285717,-145.0,626.0,0.9152047,-58.0,883.0,1.762475,382.0,786.0,1.2970297,180.0,590.0,0.9768212,-14.0,842.0,1.6706349,338.0
-143.05,131.59,-37.28,153.6,-122.88,-160.77,165.8,272.0,0.5037037,-268.0,573.0,0.92122185,-49.0,1013.0,1.7316239,428.0,554.0,0.79142857,-146.0,626.0,0.9152047,-58.0,883.0,1.762475,382.0,786.0,1.2970297,180.0,590.0,0.9768212,-14.0,842.0,1.6706349,338.0
-142.85,131.41,-37.21,155.65,-122.88,-163.84,165.9,272.0,0.5037037,-268.0,578.0,0.92926043,-44.0,1013.0,1.7316239,428.0,554.0,0.79142857,-146.0,627.0,0.9166667,-57.0,883.0,1.762475,382.0,786.0,1.2970297,180.0,591.0,0.9784768,-13.0,844.0,1.6746032,340.0
