roll,yaw,pitch,yaxis,xaxis,zaxis,force,SG0,SG_E0,SG_D0,SG1,SG_E1,SG_D1,SG2,SG_E2,SG_D2,SG3,SG_E3,SG_D3,SG4,SG_E4,SG_D4,SG5,SG_E5,SG_D5,SG6,SG_E6,SG_D6,SG7,SG_E7,SG_D7,SG8,SG_E8,SG_D8
-179.48,152.76,-15.41,71.68,-3.07,-261.12,45.2,675.0,0.9670487,-23.0,652.0,0.99088144,-6.0,623.0,0.90684134,-64.0,501.0,0.945283,-29.0,568.0,1.0106761,6.0,535.0,0.92560554,-43.0,518.0,1.0136986,7.0,729.0,1.0816023,55.0,534.0,0.95187163,-27.0
-179.48,152.76,-15.41,71.68,-3.07,-261.12,45.2,678.0,0.9713467,-20.0,657.0,0.99848026,-1.0,623.0,0.90684134,-64.0,502.0,0.94716984,-28.0,569.0,1.0124555,7.0,535.0,0.92560554,-43.0,518.0,1.0136986,7.0,729.0,1.0816023,55.0,534.0,0.95187163,-27.0
-179.48,152.76,-15.41,71.68,-3.07,-261.12,45.2,679.0,0.9727794,-19.0,658.0,1.0,0.0,623.0,0.90684134,-64.0,504.0,0.9509434,-26.0,572.0,1.0177935,10.0,536.0,0.9273356,-42.0,513.0,1.0039139,2.0,711.0,1.0548961,37.0,534.0,0.95187163,-27.0
-179.42,152.59,-15.4,71.68,-1.02,-261.12,43.4,679.0,0.9727794,-19.0,658.0,1.0,0.0,623.0,0.90684134,-64.0,504.0,0.9509434,-26.0,572.0,1.0177935,10.0,535.0,0.92560554,-43.0,513.0,1.0039139,2.0,706.0,1.0474777,32.0,532.0,0.9483066,-29.0
-179.68,152.74,-15.39,72.7,-1.02,-260.1,41.3,679.0,0.9727794,-19.0,658.0,1.0,0.0,621.0,0.9039301,-66.0,504.0,0.9509434,-26.0,572.0,1.0177935,10.0,535.0,0.92560554,-43.0,513.0,1.0039139,2.0,704.0,1.0445104,30.0,532.0,0.9483066,-29.0
-179.68,152.74,-15.39,72.7,-1.02,-260.1,41.3,679.0,0.9727794,-19.0,658.0,1.0,0.0,621.0,0.9039301,-66.0,504.0,0.9509434,-26.0,572.0,1.0177935,10.0,535.0,0.92560554,-43.0,512.0,1.0019569,1.0,703.0,1.0430267,29.0,531.0,0.9465241,-30.0
-179.68,152.74,-15.39,72.7,-1.02,-260.1,41.3,679.0,0.9727794,-19.0,658.0,1.0,0.0,621.0,0.9039301,-66.0,504.0,0.9509434,-26.0,572.0,1.0177935,10.0,535.0,0.92560554,-43.0,511.0,1.0,0.0,701.0,1.0400593,27.0,531.0,0.9465241,-30.0
-179.61,152.68,-15.48,71.68,-3.07,-260.1,39.9,682.0,0.97707736,-16.0,661.0,1.0045593,3.0,623.0,0.90684134,-64.0,509.0,0.96037734,-21.0,574.0,1.0213523,12.0,536.0,0.9273356,-42.0,511.0,1.0,0.0,701.0,1.0400593,27.0,531.0,0.9465241,-30.0
-179.61,152.68,-15.48,71.68,-3.07,-260.1,39.9,683.0,0.97851,-15.0,663.0,1.0075988,5.0,623.0,0.90684134,-64.0,510.0,0.9622642,-20.0,574.0,1.0213523,12.0,536.0,0.9273356,-42.0,511.0,1.0,0.0,701.0,1.0400593,27.0,532.0,0.9483066,-29.0
-179.48,152.6,-15.45,73.73,-2.05,-262.14,37.8,685.0,0.98137534,-13.0,665.0,1.0106384,7.0,623.0,0.90684134,-64.0,511.0,0.96415097,-19.0,577.0,1.0266904,15.0,536.0,0.9273356,-42.0,511.0,1.0,0.0,701.0,1.0400593,27.0,532.0,0.9483066,-29.0
-179.48,152.6,-15.45,73.73,-2.05,-262.14,37.8,690.0,0.9885387,-8.0,665.0,1.0106384,7.0,623.0,0.90684134,-64.0,513.0,0.96792454,-17.0,579.0,1.0302491,17.0,537.0,0.92906576,-41.0,512.0,1.0019569,1.0,701.0,1.0400593,27.0,532.0,0.9483066,-29.0
-179.52,152.57,-15.57,72.7,-1.02,-261.12,36.2,691.0,0.98997134,-7.0,669.0,1.0167173,11.0,625.0,0.90975255,-62.0,515.0,0.9716981,-15.0,581.0,1.0338079,19.0,540.0,0.9342561,-38.0,511.0,1.0,0.0,703.0,1.0430267,29.0,532.0,0.9483066,-29.0
-179.52,152.57,-15.57,72.7,-1.02,-261.12,36.2,691.0,0.98997134,-7.0,666.0,1.012158,8.0,625.0,0.90975255,-62.0,515.0,0.9716981,-15.0,581.0,1.0338079,19.0,540.0,0.9342561,-38.0,510.0,0.99804306,-1.0,693.0,1.0281899,19.0,532.0,0.9483066,-29.0
-179.54,152.54,-15.43,72.7,-3.07,-261.12,36.0,695.0,0.995702,-3.0,672.0,1.0212766,14.0,626.0,0.91120815,-61.0,520.0,0.9811321,-10.0,584.0,1.039146,22.0,542.0,0.93771625,-36.0,510.0,0.99804306,-1.0,686.0,1.0178041,12.0,532.0,0.9483066,-29.0
-179.54,152.54,-15.43,72.7,-3.07,-261.12,36.0,697.0,0.99856734,-1.0,673.0,1.0227964,15.0,625.0,0.90975255,-62.0,520.0,0.9811321,-10.0,584.0,1.039146,22.0,544.0,0.9411765,-34.0,510.0,0.99804306,-1.0,684.0,1.0148368,10.0,534.0,0.95187163,-27.0
-179.51,152.56,-15.49,72.7,-2.05,-262.14,37.9,697.0,0.99856734,-1.0,673.0,1.0227964,15.0,625.0,0.90975255,-62.0,520.0,0.9811321,-10.0,581.0,1.0338079,19.0,544.0,0.9411765,-34.0,510.0,0.99804306,-1.0,684.0,1.0148368,10.0,532.0,0.9483066,-29.0
-179.51,152.56,-15.49,72.7,-2.05,-262.14,37.9,695.0,0.995702,-3.0,673.0,1.0227964,15.0,624.0,0.90829694,-63.0,520.0,0.9811321,-10.0,581.0,1.0338079,19.0,541.0,0.93598616,-37.0,510.0,0.99804306,-1.0,684.0,1.0148368,10.0,532.0,0.9483066,-29.0
-179.59,152.52,-15.49,72.7,-1.02,-260.1,40.2,695.0,0.995702,-3.0,671.0,1.0197568,13.0,623.0,0.90684134,-64.0,520.0,0.9811321,-10.0,581.0,1.0338079,19.0,540.0,0.9342561,-38.0,509.0,0.9960861,-2.0,681.0,1.0103858,7.0,531.0,0.9465241,-30.0
-179.59,152.52,-15.49,72.7,-1.02,-260.1,40.2,693.0,0.99283665,-5.0,671.0,1.0197568,13.0,621.0,0.9039301,-66.0,520.0,0.9811321,-10.0,581.0,1.0338079,19.0,540.0,0.9342561,-38.0,508.0,0.9941292,-3.0,680.0,1.0089021,6.0,531.0,0.9465241,-30.0
-179.68,152.52,-15.54,72.7,-2.05,-261.12,42.5,693.0,0.99283665,-5.0,671.0,1.0197568,13.0,621.0,0.9039301,-66.0,521.0,0.9830189,-9.0,581.0,1.0338079,19.0,541.0,0.93598616,-37.0,509.0,0.9960861,-2.0,680.0,1.0089021,6.0,531.0,0.9465241,-30.0
-179.68,152.52,-15.54,72.7,-2.05,-261.12,42.5,693.0,0.99283665,-5.0,671.0,1.0197568,13.0,621.0,0.9039301,-66.0,523.0,0.98679245,-7.0,584.0,1.039146,22.0,541.0,0.93598616,-37.0,509.0,0.9960861,-2.0,681.0,1.0103858,7.0,531.0,0.9465241,-30.0
-179.61,152.44,-15.55,72.7,-1.02,-260.1,44.0,693.0,0.99283665,-5.0,671.0,1.0197568,13.0,621.0,0.9039301,-66.0,523.0,0.98679245,-7.0,584.0,1.039146,22.0,541.0,0.93598616,-37.0,510.0,0.99804306,-1.0,684.0,1.0148368,10.0,531.0,0.9465241,-30.0
-179.61,152.44,-15.55,72.7,-1.02,-260.1,44.0,693.0,0.99283665,-5.0,671.0,1.0197568,13.0,621.0,0.9039301,-66.0,523.0,0.98679245,-7.0,584.0,1.039146,22.0,541.0,0.93598616,-37.0,510.0,0.99804306,-1.0,684.0,1.0148368,10.0,531.0,0.9465241,-30.0
-179.62,152.52,-15.58,73.73,-1.02,-260.1,44.8,686.0,0.982808,-12.0,668.0,1.0151975,10.0,620.0,0.9024745,-67.0,522.0,0.98490566,-8.0,582.0,1.0355872,20.0,540.0,0.9342561,-38.0,510.0,0.99804306,-1.0,683.0,1.0133531,9.0,532.0,0.9483066,-29.0
-179.62,152.52,-15.58,73.73,-1.02,-260.1,44.8,686.0,0.982808,-12.0,668.0,1.0151975,10.0,619.0,0.9010189,-68.0,520.0,0.9811321,-10.0,582.0,1.0355872,20.0,540.0,0.9342561,-38.0,510.0,0.99804306,-1.0,683.0,1.0133531,9.0,532.0,0.9483066,-29.0
-179.62,152.52,-15.58,73.73,-1.02,-260.1,44.8,686.0,0.982808,-12.0,667.0,1.0136778,9.0,619.0,0.9010189,-68.0,520.0,0.9811321,-10.0,581.0,1.0338079,19.0,540.0,0.9342561,-38.0,510.0,0.99804306,-1.0,681.0,1.0103858,7.0,531.0,0.9465241,-30.0
-179.64,152.55,-15.69,73.73,-2.05,-261.12,44.8,685.0,0.98137534,-13.0,666.0,1.012158,8.0,617.0,0.8981077,-70.0,520.0,0.9811321,-10.0,581.0,1.0338079,19.0,540.0,0.9342561,-38.0,510.0,0.99804306,-1.0,680.0,1.0089021,6.0,531.0,0.9465241,-30.0
-179.44,152.39,-15.73,72.7,-3.07,-260.1,44.8,685.0,0.98137534,-13.0,666.0,1.012158,8.0,617.0,0.8981077,-70.0,519.0,0.9792453,-11.0,581.0,1.0338079,19.0,540.0,0.9342561,-38.0,508.0,0.9941292,-3.0,680.0,1.0089021,6.0,531.0,0.9465241,-30.0
-179.44,152.39,-15.73,72.7,-3.07,-260.1,44.8,686.0,0.982808,-12.0,667.0,1.0136778,9.0,619.0,0.9010189,-68.0,520.0,0.9811321,-10.0,581.0,1.0338079,19.0,540.0,0.9342561,-38.0,510.0,0.99804306,-1.0,680.0,1.0089021,6.0,532.0,0.9483066,-29.0
-179.45,152.41,-15.68,71.68,-1.02,-260.1,45.1,686.0,0.982808,-12.0,667.0,1.0136778,9.0,619.0,0.9010189,-68.0,520.0,0.9811321,-10.0,582.0,1.0355872,20.0,540.0,0.9342561,-38.0,510.0,0.99804306,-1.0,681.0,1.0103858,7.0,532.0,0.9483066,-29.0
-179.45,152.41,-15.68,71.68,-1.02,-260.1,45.1,686.0,0.982808,-12.0,668.0,1.0151975,10.0,620.0,0.9024745,-67.0,522.0,0.98490566,-8.0,582.0,1.0355872,20.0,540.0,0.9342561,-38.0,510.0,0.99804306,-1.0,682.0,1.0118694,8.0,532.0,0.9483066,-29.0
-179.45,152.41,-15.68,71.68,-1.02,-260.1,45.1,688.0,0.98567337,-10.0,668.0,1.0151975,10.0,622.0,0.90538573,-65.0,524.0,0.98867923,-6.0,582.0,1.0355872,20.0,540.0,0.9342561,-38.0,511.0,1.0,0.0,682.0,1.0118694,8.0,533.0,0.9500891,-28.0
-179.76,152.34,-15.45,73.73,-1.02,-262.14,44.5,690.0,0.9885387,-8.0,669.0,1.0167173,11.0,621.0,0.9039301,-66.0,523.0,0.98679245,-7.0,586.0,1.0427046,24.0,542.0,0.93771625,-36.0,510.0,0.99804306,-1.0,674.0,1.0,0.0,534.0,0.95187163,-27.0
-179.76,152.34,-15.45,73.73,-1.02,-262.14,44.5,690.0,0.9885387,-8.0,669.0,1.0167173,11.0,621.0,0.9039301,-66.0,523.0,0.98679245,-7.0,586.0,1.0427046,24.0,542.0,0.93771625,-36.0,510.0,0.99804306,-1.0,674.0,1.0,0.0,534.0,0.95187163,-27.0
-179.66,152.38,-15.55,72.7,-3.07,-262.14,40.9,692.0,0.991404,-6.0,671.0,1.0197568,13.0,622.0,0.90538573,-65.0,523.0,0.98679245,-7.0,586.0,1.0427046,24.0,543.0,0.9394464,-35.0,511.0,1.0,0.0,674.0,1.0,0.0,535.0,0.95365417,-26.0
-179.66,152.38,-15.55,72.7,-3.07,-262.14,40.9,693.0,0.99283665,-5.0,672.0,1.0212766,14.0,624.0,0.90829694,-63.0,525.0,0.990566,-5.0,587.0,1.044484,25.0,546.0,0.9446367,-32.0,512.0,1.0019569,1.0,674.0,1.0,0.0,536.0,0.9554367,-25.0
-179.5,152.36,-15.52,73.73,-2.05,-262.14,38.8,697.0,0.99856734,-1.0,673.0,1.0227964,15.0,625.0,0.90975255,-62.0,526.0,0.99245286,-4.0,587.0,1.044484,25.0,546.0,0.9446367,-32.0,513.0,1.0039139,2.0,674.0,1.0,0.0,536.0,0.9554367,-25.0
-179.5,152.36,-15.52,73.73,-2.05,-262.14,38.8,697.0,0.99856734,-1.0,673.0,1.0227964,15.0,625.0,0.90975255,-62.0,526.0,0.99245286,-4.0,588.0,1.0462633,26.0,548.0,0.9480969,-30.0,513.0,1.0039139,2.0,675.0,1.0014837,1.0,536.0,0.9554367,-25.0
-179.49,152.33,-15.59,72.7,-2.05,-262.14,39.3,697.0,0.99856734,-1.0,672.0,1.0212766,14.0,625.0,0.90975255,-62.0,526.0,0.99245286,-4.0,590.0,1.0498221,28.0,548.0,0.9480969,-30.0,514.0,1.0058708,3.0,674.0,1.0,0.0,537.0,0.95721924,-24.0
-179.49,152.33,-15.59,72.7,-2.05,-262.14,39.3,697.0,0.99856734,-1.0,671.0,1.0197568,13.0,625.0,0.90975255,-62.0,526.0,0.99245286,-4.0,587.0,1.044484,25.0,546.0,0.9446367,-32.0,514.0,1.0058708,3.0,674.0,1.0,0.0,536.0,0.9554367,-25.0
-179.5,152.31,-15.56,72.7,-3.07,-260.1,40.0,697.0,0.99856734,-1.0,671.0,1.0197568,13.0,625.0,0.90975255,-62.0,526.0,0.99245286,-4.0,587.0,1.044484,25.0,546.0,0.9446367,-32.0,514.0,1.0058708,3.0,673.0,0.9985163,-1.0,536.0,0.9554367,-25.0
-179.5,152.31,-15.56,72.7,-3.07,-260.1,40.0,697.0,0.99856734,-1.0,671.0,1.0197568,13.0,625.0,0.90975255,-62.0,526.0,0.99245286,-4.0,587.0,1.044484,25.0,546.0,0.9446367,-32.0,514.0,1.0058708,3.0,673.0,0.9985163,-1.0,536.0,0.9554367,-25.0
-179.41,152.34,-15.57,72.7,-1.02,-261.12,41.3,697.0,0.99856734,-1.0,671.0,1.0197568,13.0,625.0,0.90975255,-62.0,526.0,0.99245286,-4.0,587.0,1.044484,25.0,546.0,0.9446367,-32.0,514.0,1.0058708,3.0,672.0,0.99703264,-2.0,536.0,0.9554367,-25.0
-179.41,152.34,-15.57,72.7,-1.02,-261.12,41.3,697.0,0.99856734,-1.0,671.0,1.0197568,13.0,625.0,0.90975255,-62.0,526.0,0.99245286,-4.0,587.0,1.044484,25.0,548.0,0.9480969,-30.0,514.0,1.0058708,3.0,673.0,0.9985163,-1.0,536.0,0.9554367,-25.0
-179.41,152.34,-15.57,72.7,-1.02,-261.12,41.3,698.0,1.0,0.0,672.0,1.0212766,14.0,627.0,0.91266376,-60.0,526.0,0.99245286,-4.0,590.0,1.0498221,28.0,548.0,0.9480969,-30.0,514.0,1.0058708,3.0,673.0,0.9985163,-1.0,536.0,0.9554367,-25.0
-179.5,152.36,-15.58,72.7,-4.1,-260.1,42.8,698.0,1.0,0.0,672.0,1.0212766,14.0,627.0,0.91266376,-60.0,526.0,0.99245286,-4.0,590.0,1.0498221,28.0,550.0,0.9515571,-28.0,514.0,1.0058708,3.0,674.0,1.0,0.0,536.0,0.9554367,-25.0
-179.5,152.36,-15.58,72.7,-4.1,-260.1,42.8,698.0,1.0,0.0,672.0,1.0212766,14.0,627.0,0.91266376,-60.0,526.0,0.99245286,-4.0,590.0,1.0498221,28.0,550.0,0.9515571,-28.0,514.0,1.0058708,3.0,675.0,1.0014837,1.0,536.0,0.9554367,-25.0
-179.34,152.27,-15.58,71.68,-2.05,-261.12,43.4,695.0,0.995702,-3.0,671.0,1.0197568,13.0,626.0,0.91120815,-61.0,526.0,0.99245286,-4.0,590.0,1.0498221,28.0,547.0,0.9463668,-31.0,514.0,1.0058708,3.0,677.0,1.004451,3.0,536.0,0.9554367,-25.0
-179.43,152.29,-15.47,71.68,-3.07,-262.14,44.6,693.0,0.99283665,-5.0,669.0,1.0167173,11.0,625.0,0.90975255,-62.0,522.0,0.98490566,-8.0,586.0,1.0427046,24.0,546.0,0.9446367,-32.0,514.0,1.0058708,3.0,677.0,1.004451,3.0,534.0,0.95187163,-27.0
-179.43,152.29,-15.47,71.68,-3.07,-262.14,44.6,693.0,0.99283665,-5.0,669.0,1.0167173,11.0,625.0,0.90975255,-62.0,522.0,0.98490566,-8.0,586.0,1.0427046,24.0,545.0,0.94290656,-33.0,514.0,1.0058708,3.0,677.0,1.004451,3.0,534.0,0.95187163,-27.0
