roll,yaw,pitch,yaxis,xaxis,zaxis,force,SG0,SG_E0,SG_D0,SG1,SG_E1,SG_D1,SG2,SG_E2,SG_D2,SG3,SG_E3,SG_D3,SG4,SG_E4,SG_D4,SG5,SG_E5,SG_D5,SG6,SG_E6,SG_D6,SG7,SG_E7,SG_D7,SG8,SG_E8,SG_D8
60.74,152.57,-23.25,98.3,197.63,112.64,97.2,332.0,0.56366724,-257.0,493.0,0.70128024,-210.0,420.0,0.8768267,-59.0,317.0,0.47172618,-355.0,501.0,0.8835979,-66.0,568.0,0.8671756,-87.0,521.0,0.97020483,-16.0,640.0,0.9509658,-33.0,523.0,0.8804714,-71.0
60.74,152.57,-23.25,98.3,197.63,112.64,97.2,332.0,0.56366724,-257.0,484.0,0.68847793,-219.0,420.0,0.8768267,-59.0,312.0,0.4642857,-360.0,498.0,0.87830687,-69.0,561.0,0.8564885,-94.0,518.0,0.96461827,-19.0,641.0,0.9524517,-32.0,520.0,0.87542087,-74.0
60.42,152.58,-23.27,98.3,196.61,113.66,99.4,332.0,0.56366724,-257.0,484.0,0.68847793,-219.0,420.0,0.8768267,-59.0,312.0,0.4642857,-360.0,498.0,0.87830687,-69.0,560.0,0.8549618,-95.0,518.0,0.96461827,-19.0,641.0,0.9524517,-32.0,520.0,0.87542087,-74.0
60.42,152.58,-23.27,98.3,196.61,113.66,99.4,330.0,0.5602716,-259.0,484.0,0.68847793,-219.0,417.0,0.8705637,-62.0,312.0,0.4642857,-360.0,496.0,0.8747795,-71.0,560.0,0.8549618,-95.0,518.0,0.96461827,-19.0,641.0,0.9524517,-32.0,520.0,0.87542087,-74.0
60.21,152.61,-23.33,99.33,197.63,112.64,97.4,327.0,0.5551783,-262.0,480.0,0.6827881,-223.0,416.0,0.868476,-63.0,310.0,0.46130952,-362.0,496.0,0.8747795,-71.0,560.0,0.8549618,-95.0,518.0,0.96461827,-19.0,641.0,0.9524517,-32.0,520.0,0.87542087,-74.0
60.21,152.61,-23.33,99.33,197.63,112.64,97.4,327.0,0.5551783,-262.0,480.0,0.6827881,-223.0,416.0,0.868476,-63.0,310.0,0.46130952,-362.0,495.0,0.8730159,-72.0,560.0,0.8549618,-95.0,518.0,0.96461827,-19.0,641.0,0.9524517,-32.0,520.0,0.87542087,-74.0
60.54,152.57,-23.3,98.3,196.61,111.62,97.4,327.0,0.5551783,-262.0,485.0,0.6899004,-218.0,420.0,0.8768267,-59.0,304.0,0.45238096,-368.0,498.0,0.87830687,-69.0,556.0,0.84885496,-99.0,517.0,0.96275604,-20.0,647.0,0.961367,-26.0,520.0,0.87542087,-74.0
60.54,152.57,-23.3,98.3,196.61,111.62,97.4,327.0,0.5551783,-262.0,485.0,0.6899004,-218.0,420.0,0.8768267,-59.0,304.0,0.45238096,-368.0,499.0,0.88007057,-68.0,556.0,0.84885496,-99.0,517.0,0.96275604,-20.0,647.0,0.961367,-26.0,520.0,0.87542087,-74.0
60.49,152.58,-23.38,97.28,196.61,109.57,99.3,327.0,0.5551783,-262.0,485.0,0.6899004,-218.0,420.0,0.8768267,-59.0,304.0,0.45238096,-368.0,499.0,0.88007057,-68.0,556.0,0.84885496,-99.0,517.0,0.96275604,-20.0,647.0,0.961367,-26.0,520.0,0.87542087,-74.0
60.49,152.58,-23.38,97.28,196.61,109.57,99.3,327.0,0.5551783,-262.0,485.0,0.6899004,-218.0,420.0,0.8768267,-59.0,304.0,0.45238096,-368.0,500.0,0.8818342,-67.0,557.0,0.8503817,-98.0,518.0,0.96461827,-19.0,649.0,0.9643388,-24.0,521.0,0.8771044,-73.0
60.62,152.49,-23.35,98.3,198.66,112.64,101.0,327.0,0.5551783,-262.0,485.0,0.6899004,-218.0,420.0,0.8768267,-59.0,304.0,0.45238096,-368.0,500.0,0.8818342,-67.0,557.0,0.8503817,-98.0,518.0,0.96461827,-19.0,650.0,0.96582466,-23.0,521.0,0.8771044,-73.0
60.62,152.49,-23.35,98.3,198.66,112.64,101.0,305.0,0.5178268,-284.0,477.0,0.6785206,-226.0,419.0,0.87473905,-60.0,300.0,0.44642857,-372.0,499.0,0.88007057,-68.0,553.0,0.8442748,-102.0,516.0,0.96089387,-21.0,652.0,0.96879643,-21.0,521.0,0.8771044,-73.0
60.73,152.45,-23.28,97.28,197.63,110.59,101.6,305.0,0.5178268,-284.0,472.0,0.67140824,-231.0,413.0,0.86221296,-66.0,300.0,0.44642857,-372.0,499.0,0.88007057,-68.0,553.0,0.8442748,-102.0,516.0,0.96089387,-21.0,652.0,0.96879643,-21.0,521.0,0.8771044,-73.0
60.73,152.45,-23.28,97.28,197.63,110.59,101.6,305.0,0.5178268,-284.0,471.0,0.6699858,-232.0,413.0,0.86221296,-66.0,297.0,0.4419643,-375.0,497.0,0.8765432,-70.0,552.0,0.8427481,-103.0,515.0,0.95903164,-22.0,652.0,0.96879643,-21.0,521.0,0.8771044,-73.0
60.79,152.37,-23.27,99.33,196.61,112.64,101.4,305.0,0.5178268,-284.0,471.0,0.6699858,-232.0,413.0,0.86221296,-66.0,297.0,0.4419643,-375.0,496.0,0.8747795,-71.0,549.0,0.83816797,-106.0,515.0,0.95903164,-22.0,652.0,0.96879643,-21.0,520.0,0.87542087,-74.0
60.79,152.37,-23.27,99.33,196.61,112.64,101.4,305.0,0.5178268,-284.0,471.0,0.6699858,-232.0,413.0,0.86221296,-66.0,297.0,0.4419643,-375.0,496.0,0.8747795,-71.0,549.0,0.83816797,-106.0,514.0,0.9571695,-23.0,652.0,0.96879643,-21.0,520.0,0.87542087,-74.0
60.79,152.37,-23.27,99.33,196.61,112.64,101.4,305.0,0.5178268,-284.0,472.0,0.67140824,-231.0,413.0,0.86221296,-66.0,297.0,0.4419643,-375.0,497.0,0.8765432,-70.0,550.0,0.8396947,-105.0,515.0,0.95903164,-22.0,652.0,0.96879643,-21.0,521.0,0.8771044,-73.0
60.5,152.43,-23.44,98.3,195.58,110.59,101.3,305.0,0.5178268,-284.0,472.0,0.67140824,-231.0,413.0,0.86221296,-66.0,297.0,0.4419643,-375.0,499.0,0.88007057,-68.0,550.0,0.8396947,-105.0,516.0,0.96089387,-21.0,653.0,0.9702823,-20.0,521.0,0.8771044,-73.0
60.69,152.29,-23.49,97.28,197.63,111.62,101.2,305.0,0.5178268,-284.0,472.0,0.67140824,-231.0,413.0,0.86221296,-66.0,297.0,0.4419643,-375.0,499.0,0.88007057,-68.0,550.0,0.8396947,-105.0,516.0,0.96089387,-21.0,653.0,0.9702823,-20.0,521.0,0.8771044,-73.0
