taskNumber,yaxis,xaxis,zaxis,force,SG0,SG_E0,SG_D0,SG1,SG_E1,SG_D1,SG2,SG_E2,SG_D2,SG3,SG_E3,SG_D3,SG4,SG_E4,SG_D4,SG5,SG_E5,SG_D5,SG6,SG_E6,SG_D6,SG7,SG_E7,SG_D7,SG8,SG_E8,SG_D8
0,-6.14,263.17,-4.1,308.9,761.0,1.1028986,71.0,613.0,0.88074714,-83.0,692.0,1.1708968,101.0,663.0,1.0408163,26.0,601.0,0.92746913,-47.0,752.0,1.3722627,204.0,512.0,1.0513347,25.0,625.0,1.009693,6.0,584.0,1.0637523,35.0
0,-6.14,263.17,-4.1,308.9,760.0,1.1014493,70.0,613.0,0.88074714,-83.0,691.0,1.1692047,100.0,662.0,1.0392464,25.0,601.0,0.92746913,-47.0,751.0,1.370438,203.0,512.0,1.0513347,25.0,625.0,1.009693,6.0,581.0,1.0582877,32.0
0,-7.17,263.17,-3.07,304.9,760.0,1.1014493,70.0,613.0,0.88074714,-83.0,691.0,1.1692047,100.0,662.0,1.0392464,25.0,601.0,0.92746913,-47.0,751.0,1.370438,203.0,512.0,1.0513347,25.0,625.0,1.009693,6.0,581.0,1.0582877,32.0
0,-7.17,263.17,-3.07,304.9,760.0,1.1014493,70.0,613.0,0.88074714,-83.0,691.0,1.1692047,100.0,662.0,1.0392464,25.0,601.0,0.92746913,-47.0,751.0,1.370438,203.0,513.0,1.0533881,26.0,625.0,1.009693,6.0,581.0,1.0582877,32.0
0,-6.14,263.17,-1.02,309.0,746.0,1.0811595,56.0,612.0,0.87931037,-84.0,690.0,1.1675127,99.0,661.0,1.0376766,24.0,605.0,0.93364197,-43.0,753.0,1.3740876,205.0,514.0,1.0554415,27.0,627.0,1.0129241,8.0,590.0,1.0746813,41.0
0,-6.14,263.17,-1.02,309.0,744.0,1.0782609,54.0,612.0,0.87931037,-84.0,689.0,1.1658206,98.0,661.0,1.0376766,24.0,604.0,0.93209875,-44.0,752.0,1.3722627,204.0,514.0,1.0554415,27.0,627.0,1.0129241,8.0,590.0,1.0746813,41.0
0,-6.14,263.17,-3.07,306.7,737.0,1.068116,47.0,607.0,0.87212646,-89.0,689.0,1.1658206,98.0,653.0,1.0251178,16.0,605.0,0.93364197,-43.0,758.0,1.3832117,210.0,511.0,1.0492814,24.0,627.0,1.0129241,8.0,591.0,1.0765027,42.0
0,-6.14,263.17,-3.07,306.7,736.0,1.0666667,46.0,607.0,0.87212646,-89.0,687.0,1.1624366,96.0,653.0,1.0251178,16.0,604.0,0.93209875,-44.0,755.0,1.3777373,207.0,511.0,1.0492814,24.0,627.0,1.0129241,8.0,591.0,1.0765027,42.0
0,-6.14,262.14,-4.1,303.9,737.0,1.068116,47.0,607.0,0.87212646,-89.0,687.0,1.1624366,96.0,654.0,1.0266876,17.0,605.0,0.93364197,-43.0,755.0,1.3777373,207.0,511.0,1.0492814,24.0,628.0,1.0145396,9.0,591.0,1.0765027,42.0
0,-6.14,262.14,-4.1,303.9,737.0,1.068116,47.0,609.0,0.875,-87.0,687.0,1.1624366,96.0,654.0,1.0266876,17.0,605.0,0.93364197,-43.0,755.0,1.3777373,207.0,511.0,1.0492814,24.0,628.0,1.0145396,9.0,591.0,1.0765027,42.0
