roll,yaw,pitch,yaxis,xaxis,zaxis,force,SG0,SG_E0,SG_D0,SG1,SG_E1,SG_D1,SG2,SG_E2,SG_D2,SG3,SG_E3,SG_D3,SG4,SG_E4,SG_D4,SG5,SG_E5,SG_D5,SG6,SG_E6,SG_D6,SG7,SG_E7,SG_D7,SG8,SG_E8,SG_D8
101.84,173.98,-0.03,-2.05,261.12,-56.32,57.5,533.0,1.0075614,4.0,471.0,0.9936709,-3.0,456.0,0.9956332,-2.0,585.0,0.9782609,-13.0,487.0,0.99591005,-2.0,487.0,1.0145833,7.0,629.0,0.99841267,-1.0,583.0,1.0,0.0,691.0,1.0087591,6.0
101.98,174.01,0.15,0.0,263.17,-54.27,59.7,533.0,1.0075614,4.0,469.0,0.98945147,-5.0,456.0,0.9956332,-2.0,585.0,0.9782609,-13.0,487.0,0.99591005,-2.0,487.0,1.0145833,7.0,629.0,0.99841267,-1.0,582.0,0.99828476,-1.0,691.0,1.0087591,6.0
101.98,174.01,0.15,0.0,263.17,-54.27,59.7,533.0,1.0075614,4.0,469.0,0.98945147,-5.0,455.0,0.9934498,-3.0,585.0,0.9782609,-13.0,487.0,0.99591005,-2.0,487.0,1.0145833,7.0,629.0,0.99841267,-1.0,582.0,0.99828476,-1.0,690.0,1.0072993,5.0
101.82,174.02,0.05,0.0,262.14,-55.3,61.1,534.0,1.0094517,5.0,469.0,0.98945147,-5.0,456.0,0.9956332,-2.0,585.0,0.9782609,-13.0,488.0,0.997955,-1.0,487.0,1.0145833,7.0,629.0,0.99841267,-1.0,583.0,1.0,0.0,691.0,1.0087591,6.0
101.82,174.02,0.05,0.0,262.14,-55.3,61.1,534.0,1.0094517,5.0,469.0,0.98945147,-5.0,456.0,0.9956332,-2.0,585.0,0.9782609,-13.0,488.0,0.997955,-1.0,487.0,1.0145833,7.0,630.0,1.0,0.0,584.0,1.0017153,1.0,693.0,1.0116788,8.0
101.82,174.02,0.05,0.0,262.14,-55.3,61.1,534.0,1.0094517,5.0,469.0,0.98945147,-5.0,456.0,0.9956332,-2.0,585.0,0.9782609,-13.0,488.0,0.997955,-1.0,487.0,1.0145833,7.0,630.0,1.0,0.0,584.0,1.0017153,1.0,693.0,1.0116788,8.0
101.85,174.04,-0.0,0.0,262.14,-55.3,62.1,534.0,1.0094517,5.0,469.0,0.98945147,-5.0,456.0,0.9956332,-2.0,585.0,0.9782609,-13.0,488.0,0.997955,-1.0,487.0,1.0145833,7.0,630.0,1.0,0.0,584.0,1.0017153,1.0,693.0,1.0116788,8.0
101.85,174.04,-0.0,0.0,262.14,-55.3,62.1,531.0,1.0037807,2.0,468.0,0.98734176,-6.0,454.0,0.99126637,-4.0,583.0,0.9749164,-15.0,488.0,0.997955,-1.0,486.0,1.0125,6.0,629.0,0.99841267,-1.0,583.0,1.0,0.0,694.0,1.0131387,9.0
101.87,174.04,-0.04,0.0,262.14,-53.25,62.4,531.0,1.0037807,2.0,468.0,0.98734176,-6.0,454.0,0.99126637,-4.0,583.0,0.9749164,-15.0,488.0,0.997955,-1.0,486.0,1.0125,6.0,629.0,0.99841267,-1.0,583.0,1.0,0.0,694.0,1.0131387,9.0
101.87,174.04,-0.04,0.0,262.14,-53.25,62.4,531.0,1.0037807,2.0,468.0,0.98734176,-6.0,454.0,0.99126637,-4.0,583.0,0.9749164,-15.0,488.0,0.997955,-1.0,486.0,1.0125,6.0,629.0,0.99841267,-1.0,582.0,0.99828476,-1.0,691.0,1.0087591,6.0
101.69,174.03,-0.06,0.0,262.14,-55.3,61.4,531.0,1.0037807,2.0,467.0,0.98523206,-7.0,454.0,0.99126637,-4.0,583.0,0.9749164,-15.0,487.0,0.99591005,-2.0,485.0,1.0104166,5.0,629.0,0.99841267,-1.0,582.0,0.99828476,-1.0,691.0,1.0087591,6.0
101.69,174.03,-0.06,0.0,262.14,-55.3,61.4,531.0,1.0037807,2.0,466.0,0.98312235,-8.0,454.0,0.99126637,-4.0,583.0,0.9749164,-15.0,487.0,0.99591005,-2.0,485.0,1.0104166,5.0,629.0,0.99841267,-1.0,582.0,0.99828476,-1.0,691.0,1.0087591,6.0
101.77,174.0,-0.06,-1.02,261.12,-55.3,59.9,531.0,1.0037807,2.0,467.0,0.98523206,-7.0,454.0,0.99126637,-4.0,583.0,0.9749164,-15.0,487.0,0.99591005,-2.0,485.0,1.0104166,5.0,629.0,0.99841267,-1.0,582.0,0.99828476,-1.0,691.0,1.0087591,6.0
101.77,174.0,-0.06,-1.02,261.12,-55.3,59.9,531.0,1.0037807,2.0,467.0,0.98523206,-7.0,454.0,0.99126637,-4.0,583.0,0.9749164,-15.0,487.0,0.99591005,-2.0,486.0,1.0125,6.0,629.0,0.99841267,-1.0,582.0,0.99828476,-1.0,692.0,1.010219,7.0
101.84,174.03,0.03,0.0,261.12,-56.32,58.3,531.0,1.0037807,2.0,467.0,0.98523206,-7.0,454.0,0.99126637,-4.0,583.0,0.9749164,-15.0,487.0,0.99591005,-2.0,486.0,1.0125,6.0,629.0,0.99841267,-1.0,583.0,1.0,0.0,692.0,1.010219,7.0
101.84,174.03,0.03,0.0,261.12,-56.32,58.3,531.0,1.0037807,2.0,467.0,0.98523206,-7.0,454.0,0.99126637,-4.0,584.0,0.9765886,-14.0,488.0,0.997955,-1.0,486.0,1.0125,6.0,630.0,1.0,0.0,583.0,1.0,0.0,692.0,1.010219,7.0
