roll,yaw,pitch,yaxis,xaxis,zaxis,force,SG0,SG_E0,SG_D0,SG1,SG_E1,SG_D1,SG2,SG_E2,SG_D2,SG3,SG_E3,SG_D3,SG4,SG_E4,SG_D4,SG5,SG_E5,SG_D5,SG6,SG_E6,SG_D6,SG7,SG_E7,SG_D7,SG8,SG_E8,SG_D8
153.83,78.59,-18.93,84.99,108.54,-225.28,-1.1,629.0,0.99841267,-1.0,586.0,1.0086058,5.0,632.0,0.9844237,-10.0,486.0,0.88363636,-64.0,669.0,0.98527247,-10.0,578.0,1.0034722,2.0,611.0,0.9561815,-28.0,622.0,0.9583975,-27.0,445.0,0.9933036,-3.0
153.83,78.59,-18.93,84.99,108.54,-225.28,-1.1,630.0,1.0,0.0,587.0,1.010327,6.0,632.0,0.9844237,-10.0,486.0,0.88363636,-64.0,669.0,0.98527247,-10.0,578.0,1.0034722,2.0,611.0,0.9561815,-28.0,622.0,0.9583975,-27.0,445.0,0.9933036,-3.0
154.0,78.51,-19.04,86.02,107.52,-231.42,-1.2,631.0,1.0015873,1.0,588.0,1.0120482,7.0,633.0,0.9859813,-9.0,486.0,0.88363636,-64.0,669.0,0.98527247,-10.0,578.0,1.0034722,2.0,611.0,0.9561815,-28.0,622.0,0.9583975,-27.0,446.0,0.99553573,-2.0
154.0,78.51,-19.04,86.02,107.52,-231.42,-1.2,631.0,1.0015873,1.0,588.0,1.0120482,7.0,633.0,0.9859813,-9.0,486.0,0.88363636,-64.0,669.0,0.98527247,-10.0,578.0,1.0034722,2.0,612.0,0.9577465,-27.0,623.0,0.95993835,-26.0,446.0,0.99553573,-2.0
154.56,78.47,-18.92,86.02,109.57,-230.4,-1.2,631.0,1.0015873,1.0,588.0,1.0120482,7.0,633.0,0.9859813,-9.0,486.0,0.88363636,-64.0,669.0,0.98527247,-10.0,579.0,1.0052084,3.0,612.0,0.9577465,-27.0,623.0,0.95993835,-26.0,446.0,0.99553573,-2.0
154.56,78.47,-18.92,86.02,109.57,-230.4,-1.2,631.0,1.0015873,1.0,588.0,1.0120482,7.0,634.0,0.98753893,-8.0,486.0,0.88363636,-64.0,670.0,0.98674524,-9.0,579.0,1.0052084,3.0,611.0,0.9561815,-28.0,623.0,0.95993835,-26.0,446.0,0.99553573,-2.0
154.66,78.7,-18.84,86.02,114.69,-226.3,-1.2,630.0,1.0,0.0,587.0,1.010327,6.0,633.0,0.9859813,-9.0,486.0,0.88363636,-64.0,670.0,0.98674524,-9.0,579.0,1.0052084,3.0,611.0,0.9561815,-28.0,623.0,0.95993835,-26.0,446.0,0.99553573,-2.0
154.66,78.7,-18.84,86.02,114.69,-226.3,-1.2,630.0,1.0,0.0,587.0,1.010327,6.0,632.0,0.9844237,-10.0,486.0,0.88363636,-64.0,670.0,0.98674524,-9.0,579.0,1.0052084,3.0,611.0,0.9561815,-28.0,623.0,0.95993835,-26.0,446.0,0.99553573,-2.0
153.91,79.08,-18.66,90.11,116.74,-237.57,-1.2,629.0,0.99841267,-1.0,587.0,1.010327,6.0,632.0,0.9844237,-10.0,486.0,0.88363636,-64.0,669.0,0.98527247,-10.0,579.0,1.0052084,3.0,611.0,0.9561815,-28.0,622.0,0.9583975,-27.0,446.0,0.99553573,-2.0
153.91,79.08,-18.66,90.11,116.74,-237.57,-1.2,629.0,0.99841267,-1.0,587.0,1.010327,6.0,632.0,0.9844237,-10.0,486.0,0.88363636,-64.0,669.0,0.98527247,-10.0,578.0,1.0034722,2.0,611.0,0.9561815,-28.0,622.0,0.9583975,-27.0,446.0,0.99553573,-2.0
