roll,yaw,pitch,yaxis,xaxis,zaxis,force,SG0,SG_E0,SG_D0,SG1,SG_E1,SG_D1,SG2,SG_E2,SG_D2,SG3,SG_E3,SG_D3,SG4,SG_E4,SG_D4,SG5,SG_E5,SG_D5,SG6,SG_E6,SG_D6,SG7,SG_E7,SG_D7,SG8,SG_E8,SG_D8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,453.0,0.76134455,-142.0,695.0,0.9900285,-7.0,457.0,0.8074205,-109.0,524.0,0.8806723,-71.0,639.0,1.0685619,41.0,505.0,0.8132045,-116.0,574.0,1.0231729,13.0,671.0,1.0617088,39.0,657.0,0.94668585,-37.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,453.0,0.76134455,-142.0,695.0,0.9900285,-7.0,457.0,0.8074205,-109.0,524.0,0.8806723,-71.0,639.0,1.0685619,41.0,505.0,0.8132045,-116.0,574.0,1.0231729,13.0,671.0,1.0617088,39.0,658.0,0.9481268,-36.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,455.0,0.7647059,-140.0,696.0,0.991453,-6.0,457.0,0.8074205,-109.0,524.0,0.8806723,-71.0,640.0,1.0702341,42.0,505.0,0.8132045,-116.0,574.0,1.0231729,13.0,672.0,1.0632912,40.0,658.0,0.9481268,-36.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,455.0,0.7647059,-140.0,696.0,0.991453,-6.0,455.0,0.80388695,-111.0,523.0,0.8789916,-72.0,639.0,1.0685619,41.0,504.0,0.8115942,-117.0,574.0,1.0231729,13.0,671.0,1.0617088,39.0,658.0,0.9481268,-36.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,453.0,0.76134455,-142.0,695.0,0.9900285,-7.0,455.0,0.80388695,-111.0,523.0,0.8789916,-72.0,639.0,1.0685619,41.0,504.0,0.8115942,-117.0,574.0,1.0231729,13.0,670.0,1.0601265,38.0,658.0,0.9481268,-36.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,453.0,0.76134455,-142.0,695.0,0.9900285,-7.0,455.0,0.80388695,-111.0,523.0,0.8789916,-72.0,639.0,1.0685619,41.0,504.0,0.8115942,-117.0,574.0,1.0231729,13.0,670.0,1.0601265,38.0,657.0,0.94668585,-37.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,453.0,0.76134455,-142.0,695.0,0.9900285,-7.0,455.0,0.80388695,-111.0,523.0,0.8789916,-72.0,639.0,1.0685619,41.0,504.0,0.8115942,-117.0,574.0,1.0231729,13.0,670.0,1.0601265,38.0,655.0,0.943804,-39.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,453.0,0.76134455,-142.0,695.0,0.9900285,-7.0,455.0,0.80388695,-111.0,523.0,0.8789916,-72.0,639.0,1.0685619,41.0,504.0,0.8115942,-117.0,573.0,1.0213903,12.0,670.0,1.0601265,38.0,654.0,0.9423631,-40.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,453.0,0.76134455,-142.0,695.0,0.9900285,-7.0,455.0,0.80388695,-111.0,525.0,0.88235295,-70.0,639.0,1.0685619,41.0,504.0,0.8115942,-117.0,573.0,1.0213903,12.0,671.0,1.0617088,39.0,654.0,0.9423631,-40.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,455.0,0.7647059,-140.0,696.0,0.991453,-6.0,456.0,0.8056537,-110.0,525.0,0.88235295,-70.0,639.0,1.0685619,41.0,504.0,0.8115942,-117.0,573.0,1.0213903,12.0,672.0,1.0632912,40.0,654.0,0.9423631,-40.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,457.0,0.76806724,-138.0,698.0,0.994302,-4.0,460.0,0.81272084,-106.0,527.0,0.8857143,-68.0,639.0,1.0685619,41.0,506.0,0.8148148,-115.0,573.0,1.0213903,12.0,673.0,1.0648735,41.0,654.0,0.9423631,-40.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,460.0,0.77310926,-135.0,700.0,0.997151,-2.0,472.0,0.83392227,-94.0,527.0,0.8857143,-68.0,639.0,1.0685619,41.0,507.0,0.81642514,-114.0,573.0,1.0213903,12.0,678.0,1.0727848,46.0,654.0,0.9423631,-40.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,470.0,0.789916,-125.0,701.0,0.9985755,-1.0,475.0,0.8392226,-91.0,533.0,0.8957983,-62.0,639.0,1.0685619,41.0,508.0,0.8180354,-113.0,535.0,0.95365417,-26.0,715.0,1.131329,83.0,598.0,0.86167145,-96.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,470.0,0.789916,-125.0,701.0,0.9985755,-1.0,475.0,0.8392226,-91.0,533.0,0.8957983,-62.0,639.0,1.0685619,41.0,508.0,0.8180354,-113.0,517.0,0.92156863,-44.0,715.0,1.131329,83.0,596.0,0.8587896,-98.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,470.0,0.789916,-125.0,701.0,0.9985755,-1.0,460.0,0.81272084,-106.0,533.0,0.8957983,-62.0,639.0,1.0685619,41.0,508.0,0.8180354,-113.0,509.0,0.9073084,-52.0,715.0,1.131329,83.0,592.0,0.8530259,-102.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,470.0,0.789916,-125.0,701.0,0.9985755,-1.0,455.0,0.80388695,-111.0,533.0,0.8957983,-62.0,636.0,1.0635451,38.0,508.0,0.8180354,-113.0,476.0,0.8484849,-85.0,715.0,1.131329,83.0,588.0,0.84726226,-106.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,470.0,0.789916,-125.0,701.0,0.9985755,-1.0,455.0,0.80388695,-111.0,533.0,0.8957983,-62.0,634.0,1.0602007,36.0,508.0,0.8180354,-113.0,476.0,0.8484849,-85.0,715.0,1.131329,83.0,588.0,0.84726226,-106.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,609.0,1.0235294,14.0,730.0,1.039886,28.0,455.0,0.80388695,-111.0,588.0,0.9882353,-7.0,636.0,1.0635451,38.0,520.0,0.8373591,-101.0,479.0,0.8538324,-82.0,770.0,1.2183545,138.0,588.0,0.84726226,-106.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,623.0,1.0470588,28.0,730.0,1.039886,28.0,460.0,0.81272084,-106.0,616.0,1.0352942,21.0,639.0,1.0685619,41.0,520.0,0.8373591,-101.0,479.0,0.8538324,-82.0,781.0,1.2357595,149.0,590.0,0.8501441,-104.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,623.0,1.0470588,28.0,733.0,1.0441595,31.0,460.0,0.81272084,-106.0,626.0,1.0521009,31.0,639.0,1.0685619,41.0,520.0,0.8373591,-101.0,509.0,0.9073084,-52.0,781.0,1.2357595,149.0,591.0,0.85158503,-103.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,623.0,1.0470588,28.0,733.0,1.0441595,31.0,460.0,0.81272084,-106.0,626.0,1.0521009,31.0,644.0,1.0769231,46.0,520.0,0.8373591,-101.0,517.0,0.92156863,-44.0,781.0,1.2357595,149.0,592.0,0.8530259,-102.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,609.0,1.0235294,14.0,725.0,1.0327635,23.0,454.0,0.80212015,-112.0,588.0,0.9882353,-7.0,641.0,1.0719063,43.0,504.0,0.8115942,-117.0,518.0,0.92335117,-43.0,723.0,1.1439873,91.0,596.0,0.8587896,-98.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,565.0,0.94957983,-30.0,701.0,0.9985755,-1.0,442.0,0.7809187,-124.0,540.0,0.90756303,-55.0,641.0,1.0719063,43.0,499.0,0.8035427,-122.0,518.0,0.92335117,-43.0,708.0,1.1202532,76.0,596.0,0.8587896,-98.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,551.0,0.9260504,-44.0,701.0,0.9985755,-1.0,411.0,0.7261484,-155.0,538.0,0.9042017,-57.0,641.0,1.0719063,43.0,490.0,0.7890499,-131.0,518.0,0.92335117,-43.0,707.0,1.118671,75.0,596.0,0.8587896,-98.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,538.0,0.9042017,-57.0,701.0,0.9985755,-1.0,411.0,0.7261484,-155.0,538.0,0.9042017,-57.0,641.0,1.0719063,43.0,490.0,0.7890499,-131.0,518.0,0.92335117,-43.0,702.0,1.1107595,70.0,596.0,0.8587896,-98.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,531.0,0.892437,-64.0,701.0,0.9985755,-1.0,411.0,0.7261484,-155.0,538.0,0.9042017,-57.0,641.0,1.0719063,43.0,490.0,0.7890499,-131.0,518.0,0.92335117,-43.0,700.0,1.107595,68.0,596.0,0.8587896,-98.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,531.0,0.892437,-64.0,702.0,1.0,0.0,416.0,0.7349823,-150.0,540.0,0.90756303,-55.0,646.0,1.0802675,48.0,492.0,0.79227054,-129.0,553.0,0.98573977,-8.0,700.0,1.107595,68.0,642.0,0.9250721,-52.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,531.0,0.892437,-64.0,702.0,1.0,0.0,421.0,0.74381626,-145.0,540.0,0.90756303,-55.0,646.0,1.0802675,48.0,496.0,0.7987118,-125.0,566.0,1.0089127,5.0,700.0,1.107595,68.0,643.0,0.92651296,-51.0
