userID,name,address,company,title,time,hand,pilotOne,pilotTwo,studyOne,studyTwo
0,林欣穎,,,,2015/8/14,right,2,2,1,0
1,jesse,,,,2015/8/14,right,2,2,2,0
2,michael,,,,2015/8/14,right,2,2,2,0
3,sandy,,,,2015/8/14,right,2,2,2,0
4,yu,,,,2015/8/14,right,2,2,2,0
5,paul,,,,2015/8/14,right,2,2,2,0
6,chen,,,,2015/8/14,right,2,2,2,0
7,tony,,,,2015/8/14,right,2,2,2,0
8,user8,,,,2015/8/14,right,2,2,2,0
9,user9,,,,2015/8/14,right,2,2,2,0
10,user10,,,,2015/8/14,right,2,2,2,0
11,user11,,,,2015/8/14,right,2,2,2,0
12,user11,,,,2015/8/14,right,1,1,0,0
13,user13,,,,2015/8/14,right,2,2,2,0
14,user14,,,,2015/8/14,right,2,2,2,0
15,user15,,,,2015/8/14,right,2,2,1,0
16,user15,,,,2015/8/14,right,2,2,2,0
17,user17,,,,2015/8/14,right,2,2,2,0
18,user17,,,,2015/8/14,right,0,0,2,1
19,user19,,,,2015/8/14,right,0,0,2,1
20,user20,,,,2015/8/14,right,0,0,2,2
21,user21,,,,2015/8/14,right,0,0,2,1
22,user22,,,,2015/8/14,right,1,0,2,1
23,user23,,,,2015/8/14,right,0,0,2,2
24,user24,,,,2015/8/14,right,0,0,2,0
25,user24,,,,2015/8/14,right,0,0,0,2
26,user26,,,,2015/8/14,right,0,0,2,2
27,user27,,,,2015/8/14,right,0,0,2,2
28,user28,,,,2015/8/14,right,0,0,2,2
29,user29,,,,2015/8/14,right,0,0,2,2
30,user30,,,,2015/8/14,right,0,0,2,2
31,user31test,,,,2015/8/14,right,0,0,2,0
32,user32test,,,,2015/8/14,right,0,0,1,0
33,user33test,,,,2015/8/14,right,0,0,2,0
34,user34,,,,2015/8/14,right,0,0,2,2
35,user35,,,,2015/8/14,right,0,0,2,0
36,user36,,,,2015/8/14,right,0,0,2,2
37,user37,,,,2015/8/14,right,0,0,2,0
38,user38,,,,2015/8/14,right,0,0,2,0
39,user39,,,,2015/8/14,right,0,0,2,0
40,user40,,,,2015/8/14,right,0,0,2,0
41,user41,,,,2015/8/14,right,0,0,2,0
42,user42,,,,2015/8/14,right,0,0,1,0
43,user43,,,,2015/8/14,right,0,0,1,0
44,user44,,,,2015/8/14,right,0,0,2,0
45,user45,,,,2015/8/14,right,0,0,2,0
46,user46,,,,2015/8/14,right,0,0,2,0
